PomBase:SPAC212.08c	UniProtKB:Q9HGP7
PomBase:SPAC23E2.01	UniProtKB:Q10134
PomBase:SPAC23E2.02	UniProtKB:Q10135
PomBase:SPAC23E2.03c	UniProtKB:Q10136
PomBase:SPAC24H6.12c	UniProtKB:Q09765
PomBase:SPAC24H6.11c	UniProtKB:Q09764
PomBase:SPAC24H6.10c	UniProtKB:Q09755
PomBase:SPAC24H6.07	UniProtKB:Q9URK9
PomBase:SPAC24H6.07	UniProtKB:Q9UTY5
PomBase:SPAC24H6.07	UniProtKB:Q09757
PomBase:SPAC24H6.04	UniProtKB:Q09756
PomBase:SPAC24H6.02c	UniProtKB:Q09759
PomBase:SPAC227.02c	UniProtKB:Q9UTD7
PomBase:SPAC227.03c	UniProtKB:Q9UTD6
PomBase:SPAC227.04	UniProtKB:Q9UTD5
PomBase:SPAC227.09	UniProtKB:Q9UTD0
PomBase:SPAC227.11c	UniProtKB:Q9UTC8
PomBase:SPAC227.12	UniProtKB:Q9UTC7
PomBase:SPAC227.13c	UniProtKB:Q9UTC6
PomBase:SPAC227.15	UniProtKB:Q9UTC4
PomBase:SPAC227.16c	UniProtKB:Q9UTC3
PomBase:SPAC227.18	UniProtKB:Q09694
PomBase:SPAC2F7.02c	UniProtKB:Q09695
PomBase:SPAC2F7.07c	UniProtKB:Q09698
PomBase:SPAC2F7.10	UniProtKB:Q09701
PomBase:SPAC2F7.15	UniProtKB:Q09705
PomBase:SPAC3H8.04	UniProtKB:Q10140
PomBase:SPAC3H8.05c	UniProtKB:Q10141
PomBase:SPAC3H8.06	UniProtKB:Q10142
PomBase:SPAC3H8.08c	UniProtKB:Q10144
PomBase:SPAC3H8.09c	UniProtKB:Q10145
PomBase:SPAC3H8.10	UniProtKB:Q10137
PomBase:SPAC1F3.02c	UniProtKB:Q10407
PomBase:SPAC1F3.04c	UniProtKB:Q10409
PomBase:SPAC1F3.07c	UniProtKB:Q10412
PomBase:SPAC1F3.08c	UniProtKB:Q10413
PomBase:SPAC1D4.01	UniProtKB:Q10148
PomBase:SPAC1D4.03c	UniProtKB:Q10150
PomBase:SPAC1D4.04	UniProtKB:Q10147
PomBase:SPAC1D4.08	UniProtKB:Q10153
PomBase:SPAC1D4.12	UniProtKB:P26659
PomBase:SPAC1D4.14	UniProtKB:Q09779
PomBase:SPAC22F3.13	UniProtKB:Q09778
PomBase:SPAC22F3.07c	UniProtKB:Q09774
PomBase:SPAC22F3.06c	UniProtKB:Q09769
PomBase:SPAC22F3.04	UniProtKB:Q09773
PomBase:SPAC22F3.03c	UniProtKB:Q09772
PomBase:SPAC1296.01c	UniProtKB:Q09770
PomBase:SPAC1296.02	UniProtKB:P79010
PomBase:SPAC1296.04	UniProtKB:O94611
PomBase:SPAPJ696.01c	UniProtKB:Q9URW7
PomBase:SPAPJ696.02	UniProtKB:Q9URW6
PomBase:SPAC22G7.05	UniProtKB:Q09799
PomBase:SPAC22G7.06c	UniProtKB:Q09794
PomBase:SPAC22G7.07c	UniProtKB:Q09800
PomBase:SPAC22G7.09c	UniProtKB:Q09793
PomBase:SPAC22G7.11c	UniProtKB:Q09802
PomBase:SPAC4G8.03c	UniProtKB:Q09829
PomBase:SPAC4G8.09	UniProtKB:Q09828
PomBase:SPAC4G8.11c	UniProtKB:Q09836
PomBase:SPAC4G8.10	UniProtKB:Q09835
PomBase:SPAC4G8.12c	UniProtKB:Q09837
PomBase:SPAC4G8.13c	UniProtKB:Q09838
PomBase:SPAC16C9.03	UniProtKB:Q09817
PomBase:SPAC16C9.04c	UniProtKB:Q09818
PomBase:SPAC16C9.06c	UniProtKB:Q09820
PomBase:SPAC2G11.02	UniProtKB:Q09804
PomBase:SPAC2G11.05c	UniProtKB:Q09807
PomBase:SPAC2G11.11c	UniProtKB:Q03319
PomBase:SPAC2G11.12	UniProtKB:Q09811
PomBase:SPAC2G11.13	UniProtKB:Q09812
PomBase:SPAC2G11.15c	UniProtKB:P78826
PomBase:SPAC2G11.15c	UniProtKB:Q09814
PomBase:SPAC521.05	UniProtKB:Q9P7B2
PomBase:SPAC23G3.01	UniProtKB:Q02061
PomBase:SPAC23G3.08c	UniProtKB:Q9P7S5
PomBase:SPAC22H12.01c	UniProtKB:O94435
PomBase:SPAC22H12.05c	UniProtKB:O94439
PomBase:SPAC1687.01	UniProtKB:Q09177
PomBase:SPAC1687.08	UniProtKB:O14067
PomBase:SPAC1687.13c	UniProtKB:O94454
PomBase:SPAC1687.14c	UniProtKB:O94455
PomBase:SPAC1687.19c	UniProtKB:O94460
PomBase:SPAC1687.20c	UniProtKB:P87227
PomBase:SPAC1687.22c	UniProtKB:O94462
PomBase:SPAC222.07c	UniProtKB:Q9UTE5
PomBase:SPAC222.09	UniProtKB:Q9UTE3
PomBase:SPAC222.17	UniProtKB:C6Y4B9
PomBase:SPAC222.13c	UniProtKB:Q9UTE1
PomBase:SPAC222.14c	UniProtKB:Q9UTE0
PomBase:SPAC222.15	UniProtKB:Q9HGK2
PomBase:SPAC222.18	UniProtKB:C6Y4C0
PomBase:SPAC222.16c	UniProtKB:Q9UT51
PomBase:SPAC821.03c	UniProtKB:Q9UT50
PomBase:SPAC821.04c	UniProtKB:Q9UT49
PomBase:SPAC821.06	UniProtKB:Q09116
PomBase:SPAC821.08c	UniProtKB:P78972
PomBase:SPAC821.09	UniProtKB:Q9UT45
PomBase:SPAC821.10c	UniProtKB:P28758
PomBase:SPAC821.12	UniProtKB:O13310
PomBase:SPAC139.02c	UniProtKB:Q9UTN1
PomBase:SPAC23C4.02	UniProtKB:O13923
PomBase:SPAC23C4.05c	UniProtKB:O94559
PomBase:SPAC23C4.07	UniProtKB:O13927
PomBase:SPAC23C4.08	UniProtKB:O13928
PomBase:SPAC23C4.09c	UniProtKB:O13929
PomBase:SPAC23C4.10	UniProtKB:O13930
PomBase:SPAC23C4.11	UniProtKB:O13931
PomBase:SPAC23C4.15	UniProtKB:Q09191
PomBase:SPAC1A6.01c	UniProtKB:O13855
PomBase:SPAC1A6.02	UniProtKB:O13856
PomBase:SPAC1A6.03c	UniProtKB:O13857
PomBase:SPAC1A6.04c	UniProtKB:P78854
PomBase:SPAC1A6.05c	UniProtKB:Q9Y827
PomBase:SPAC1A6.10	UniProtKB:O13861
PomBase:SPAC30D11.14c	UniProtKB:Q09911
PomBase:SPAC30D11.11	UniProtKB:Q09910
PomBase:SPAC30D11.09	UniProtKB:Q09909
PomBase:SPAC30D11.08c	UniProtKB:Q09908
PomBase:SPAC30D11.07	UniProtKB:Q09907
PomBase:SPAC30D11.06c	UniProtKB:Q09906
PomBase:SPAC30D11.05	UniProtKB:Q09905
PomBase:SPAC30D11.03	UniProtKB:Q09903
PomBase:SPAC56F8.02	UniProtKB:Q10250
PomBase:SPAC56F8.03	UniProtKB:Q10251
PomBase:SPAC56F8.05c	UniProtKB:Q10253
PomBase:SPAC56F8.06c	UniProtKB:Q10254
PomBase:SPAC56F8.09	UniProtKB:Q10257
PomBase:SPAC56F8.11	UniProtKB:Q10259
PomBase:SPAC56F8.16	UniProtKB:Q04635
PomBase:SPAC22A12.01c	UniProtKB:Q10264
PomBase:SPAC22A12.02c	UniProtKB:O13894
PomBase:SPAC22A12.03c	UniProtKB:O13895
PomBase:SPAC22A12.04c	UniProtKB:O14469
PomBase:SPAC22A12.06c	UniProtKB:O13897
PomBase:SPAC22A12.07c	UniProtKB:O13898
PomBase:SPAC22A12.10	UniProtKB:O13901
PomBase:SPAC22A12.11	UniProtKB:O13902
PomBase:SPAC22A12.15c	UniProtKB:P36604
PomBase:SPAC4C5.02c	UniProtKB:P17608
PomBase:SPAC4C5.04	UniProtKB:P79064
PomBase:SPAC10F6.01c	UniProtKB:Q1K9C2
PomBase:SPAC10F6.02c	UniProtKB:O42643
PomBase:SPAC10F6.03c	UniProtKB:O42644
PomBase:SPAC10F6.04	UniProtKB:O42645
PomBase:SPAC10F6.05c	UniProtKB:Q1L844
PomBase:SPAC10F6.05c	UniProtKB:O42646
PomBase:SPAC10F6.06	UniProtKB:P87216
PomBase:SPAC10F6.07c	UniProtKB:O42647
PomBase:SPAC10F6.08c	UniProtKB:O42648
PomBase:SPAC10F6.11c	UniProtKB:O42651
PomBase:SPAC10F6.12c	UniProtKB:P87014
PomBase:SPAC10F6.13c	UniProtKB:O42652
PomBase:SPAC10F6.15	UniProtKB:O42654
PomBase:SPAC56E4.05	UniProtKB:O14193
PomBase:SPAC56E4.07	UniProtKB:O14195
PomBase:SPAC1420.01c	UniProtKB:Q9UTM5
PomBase:SPAC1420.02c	UniProtKB:Q9UTM4
PomBase:SPAC1420.04c	UniProtKB:Q9UTM2
PomBase:SPAPB17E12.02	UniProtKB:Q9P347
PomBase:SPAPB17E12.03	UniProtKB:Q8TFH8
PomBase:SPAPB17E12.04c	UniProtKB:Q9HFR0
PomBase:SPAPB17E12.05	UniProtKB:P59289
PomBase:SPAPB17E12.07c	UniProtKB:Q8TFH7
PomBase:SPAPB17E12.08	UniProtKB:Q8TFH6
PomBase:SPAPB17E12.10c	UniProtKB:Q8TFH4
PomBase:SPAPB17E12.11	UniProtKB:Q8TFH3
PomBase:SPAC1565.01	UniProtKB:Q9P3B2
PomBase:SPAC1565.02c	UniProtKB:Q9P3B1
PomBase:SPAC1565.06c	UniProtKB:P87027
PomBase:SPAC6F12.05c	UniProtKB:P41888
PomBase:SPAC6F12.07	UniProtKB:O14225
PomBase:SPAC6F12.08c	UniProtKB:O14226
PomBase:SPAC6F12.11c	UniProtKB:O14229
PomBase:SPAC6F12.17	UniProtKB:O14233
PomBase:SPAC19E9.01c	UniProtKB:O13838
PomBase:SPAC19E9.03	UniProtKB:P87049
PomBase:SPAC57A10.03	UniProtKB:P87051
PomBase:SPAC57A10.09c	UniProtKB:P87057
PomBase:SPAC57A10.10c	UniProtKB:P87058
PomBase:SPAC57A10.11c	UniProtKB:P87059
PomBase:SPAC57A10.12c	UniProtKB:P32747
PomBase:SPAC20G8.03	UniProtKB:P87110
PomBase:SPAC20G8.05c	UniProtKB:Q09822
PomBase:SPAC20G8.07c	UniProtKB:P87113
PomBase:SPAC20G8.08c	UniProtKB:P87114
PomBase:SPAC20G8.09c	UniProtKB:P87115
PomBase:SPAC3A12.06c	UniProtKB:P87122
PomBase:SPAC3A12.19	UniProtKB:Q5WRL1
PomBase:SPAC3A12.13c	UniProtKB:P87128
PomBase:SPAC3A12.15	UniProtKB:P87129
PomBase:SPAC3A12.17c	UniProtKB:P87131
PomBase:SPAC3A12.18	UniProtKB:O00091
PomBase:SPAC9.02c	UniProtKB:Q9UT25
PomBase:SPAC9.04	UniProtKB:Q9UTF1
PomBase:SPAC9.04	UniProtKB:Q05654
PomBase:SPAC9.07c	UniProtKB:Q9UT21
PomBase:SPAC9.10	UniProtKB:Q9UT18
PomBase:SPAC9.11	UniProtKB:Q9UT17
PomBase:SPAC9.12c	UniProtKB:Q9UT16
PomBase:SPAC5D6.09c	UniProtKB:O14201
PomBase:SPAC5D6.05	UniProtKB:O14198
PomBase:SPAC5D6.04	UniProtKB:O14197
PomBase:SPAC5D6.02c	UniProtKB:Q9USA1
PomBase:SPAC5D6.02c	UniProtKB:O14196
PomBase:SPAC5D6.01	UniProtKB:O14469
PomBase:SPAC57A7.10c	UniProtKB:P87140
PomBase:SPAC57A7.08	UniProtKB:P78968
PomBase:SPAC57A7.07c	UniProtKB:P87138
PomBase:SPAC57A7.06	UniProtKB:Q9USA9
PomBase:SPAC57A7.06	UniProtKB:P87137
PomBase:SPAC57A7.15c	UniProtKB:C6Y4B2
PomBase:SPAC167.07c	UniProtKB:Q1K9C4
PomBase:SPAC167.05	UniProtKB:P87132
PomBase:SPAC167.04	UniProtKB:O94539
PomBase:SPAC167.03c	UniProtKB:O94538
PomBase:SPAC1705.02	UniProtKB:Q9UTF0
PomBase:SPAC1705.03c	UniProtKB:O13960
PomBase:SPAC23H4.18c	UniProtKB:O13959
PomBase:SPAC23H4.17c	UniProtKB:O13958
PomBase:SPAC23H4.15	UniProtKB:O13956
PomBase:SPAC23H4.13c	UniProtKB:O13954
PomBase:SPAC23H4.12	UniProtKB:O13953
PomBase:SPAC23H4.10c	UniProtKB:P40386
PomBase:SPAC23H4.08	UniProtKB:O13951
PomBase:SPAC23H4.07c	UniProtKB:O13950
PomBase:SPAC23H4.06	UniProtKB:Q09179
PomBase:SPAC23H4.05c	UniProtKB:O13948
PomBase:SPAP27G11.02	UniProtKB:Q9P7N6
PomBase:SPAP27G11.06c	UniProtKB:Q9P7N2
PomBase:SPAP27G11.08c	UniProtKB:Q9P7N0
PomBase:SPAP27G11.09c	UniProtKB:Q9P7M9
PomBase:SPAP27G11.10c	UniProtKB:Q9P7M8
PomBase:SPAP27G11.11c	UniProtKB:Q9P7M7
PomBase:SPAP27G11.16	UniProtKB:Q9C109
PomBase:SPAP27G11.14c	UniProtKB:Q9P7M4
PomBase:SPAP27G11.15	UniProtKB:Q9P7M3
PomBase:SPAC343.02	UniProtKB:Q9UT87
PomBase:SPAC343.03	UniProtKB:Q9UT86
PomBase:SPAC343.04c	UniProtKB:Q9UT85
PomBase:SPAC343.10	UniProtKB:O74927
PomBase:SPAC343.11c	UniProtKB:Q9UT79
PomBase:SPAC343.12	UniProtKB:P53693
PomBase:SPAC343.20	UniProtKB:Q9C111
PomBase:SPAC343.13	UniProtKB:Q9UT77
PomBase:SPAC343.18	UniProtKB:Q9UT72
PomBase:SPAC824.07	UniProtKB:Q9UT36
PomBase:SPAC824.08	UniProtKB:Q9UT35
PomBase:SPAC664.05	UniProtKB:O74175
PomBase:SPAC664.08c	UniProtKB:Q9US05
PomBase:SPAC664.11	UniProtKB:P22774
PomBase:SPAC664.12c	UniProtKB:Q9US02
PomBase:SPAC664.14	UniProtKB:Q9US00
PomBase:SPAC664.15	UniProtKB:Q9P7I3
PomBase:SPAC105.02c	UniProtKB:Q9P7I0
PomBase:SPAC17A5.02c	UniProtKB:O13765
PomBase:SPAC17A5.08	UniProtKB:O13770
PomBase:SPAC17A5.10	UniProtKB:O13772
PomBase:SPAC17A5.11	UniProtKB:P40384
PomBase:SPAC17A5.12	UniProtKB:O13773
PomBase:SPAC17A5.14	UniProtKB:P40383
PomBase:SPAC17A5.15c	UniProtKB:O13775
PomBase:SPAC1610.04	UniProtKB:Q9P6M7
PomBase:SPAC1002.03c	UniProtKB:Q9US55
PomBase:SPAC1002.04c	UniProtKB:Q9US54
PomBase:SPAC1002.05c	UniProtKB:Q9US53
PomBase:SPAC1002.06c	UniProtKB:Q9US52
PomBase:SPAC1002.07c	UniProtKB:P79081
PomBase:SPAC1002.09c	UniProtKB:O00087
PomBase:SPAC1002.11	UniProtKB:Q9US48
PomBase:SPAC1002.20	UniProtKB:Q9C121
PomBase:SPAC1002.14	UniProtKB:Q9US46
PomBase:SPAC1002.18	UniProtKB:Q9US42
PomBase:SPAC1399.04c	UniProtKB:Q9HE15
PomBase:SPAC1399.03	UniProtKB:Q10279
PomBase:SPAC1399.01c	UniProtKB:Q9HE12
PomBase:SPAP11E10.02c	UniProtKB:Q9HDY9
PomBase:SPAPB1A10.16	UniProtKB:P0CAN9
PomBase:SPAPB1A10.06c	UniProtKB:Q9HDY4
PomBase:SPAPB1A10.08	UniProtKB:Q9HDY2
PomBase:SPAPB1A10.12c	UniProtKB:Q9HDX8
PomBase:SPAPB1A10.15	UniProtKB:Q9HDX5
PomBase:SPAC140.03	UniProtKB:Q9P7B8
PomBase:SPAC110.01	UniProtKB:Q9HFF4
PomBase:SPAC110.03	UniProtKB:Q01112
PomBase:SPAP14E8.02	UniProtKB:Q9P7G6
PomBase:SPAP14E8.03	UniProtKB:Q9P7G5
PomBase:SPAP14E8.04	UniProtKB:Q9P7G4
PomBase:SPAC3H1.01c	UniProtKB:Q10067
PomBase:SPAC3H1.04c	UniProtKB:Q10070
PomBase:SPAC3H1.06c	UniProtKB:Q10072
PomBase:SPAC3H1.07	UniProtKB:Q10066
PomBase:SPAC3H1.08c	UniProtKB:Q10073
PomBase:SPAC3H1.09c	UniProtKB:Q10074
PomBase:SPAC3H1.13	UniProtKB:Q10078
PomBase:SPAC3H1.14	UniProtKB:Q10079
PomBase:SPAC9G1.04	UniProtKB:O14300
PomBase:SPAC9G1.06c	UniProtKB:O14302
PomBase:SPAC9G1.09	UniProtKB:O14305
PomBase:SPAC9G1.11c	UniProtKB:P48009
PomBase:SPAC17H9.03c	UniProtKB:O13800
PomBase:SPAC17H9.04c	UniProtKB:O13801
PomBase:SPAC17H9.06c	UniProtKB:Q9USF4
PomBase:SPAC17H9.06c	UniProtKB:O13803
PomBase:SPAC17H9.11	UniProtKB:O13808
PomBase:SPAC17H9.12c	UniProtKB:O13809
PomBase:SPAC17H9.13c	UniProtKB:O13810
PomBase:SPAC17H9.16	UniProtKB:O13813
PomBase:SPAC17H9.18c	UniProtKB:O13815
PomBase:SPAC17H9.19c	UniProtKB:Q10990
PomBase:SPAC607.03c	UniProtKB:O74690
PomBase:SPAC607.06c	UniProtKB:Q9US12
PomBase:SPAC607.08c	UniProtKB:Q9US10
PomBase:SPAC607.10	UniProtKB:Q9US08
PomBase:SPAC732.01	UniProtKB:Q9URZ8
PomBase:SPAC732.02c	UniProtKB:Q9URZ7
PomBase:SPAC3C7.01c	UniProtKB:O14127
PomBase:SPAC3C7.02c	UniProtKB:O14128
PomBase:SPAC3C7.07c	UniProtKB:O14133
PomBase:SPAC3C7.08c	UniProtKB:O14134
PomBase:SPAC3C7.12	UniProtKB:P79065
PomBase:SPAC20H4.01	UniProtKB:Q9HE11
PomBase:SPAC20H4.04	UniProtKB:Q9HE09
PomBase:SPAC20H4.07	UniProtKB:Q9UUL2
PomBase:SPAC20H4.10	UniProtKB:Q9UTT4
PomBase:SPAC20H4.10	UniProtKB:Q9HE05
PomBase:SPAC20H4.11c	UniProtKB:Q9HE04
PomBase:SPAC23C11.01	UniProtKB:O13909
PomBase:SPAC23C11.02c	UniProtKB:P79057
PomBase:SPAC23C11.04c	UniProtKB:O13911
PomBase:SPAC23C11.05	UniProtKB:P19117
PomBase:SPAC23C11.08	UniProtKB:P36611
PomBase:SPAC23C11.09	UniProtKB:O13914
PomBase:SPAC23C11.13c	UniProtKB:O13917
PomBase:SPAC23C11.17	UniProtKB:O13920
PomBase:SPAC13F5.02c	UniProtKB:O13701
PomBase:SPAC13F5.03c	UniProtKB:O13702
PomBase:SPAC13F5.06c	UniProtKB:O13705
PomBase:SPAC13F5.07c	UniProtKB:O13706
PomBase:SPAC1783.01	UniProtKB:Q9US28
PomBase:SPAC1783.02c	UniProtKB:Q9US27
PomBase:SPAC1783.03	UniProtKB:Q9US26
PomBase:SPAC1783.08c	UniProtKB:Q9US22
PomBase:SPAC1327.01c	UniProtKB:Q1MTM9
PomBase:SPAC18G6.02c	UniProtKB:Q10103
PomBase:SPAC18G6.06	UniProtKB:Q10106
PomBase:SPAC18G6.07c	UniProtKB:Q10107
PomBase:SPAC18G6.09c	UniProtKB:Q10108
PomBase:SPAC18G6.10	UniProtKB:Q10109
PomBase:SPAC18G6.11c	UniProtKB:Q10110
PomBase:SPAC18G6.13	UniProtKB:Q10112
PomBase:SPAC18G6.14c	UniProtKB:Q10101
PomBase:SPAC18G6.15	UniProtKB:Q10113
PomBase:SPAC13D6.02c	UniProtKB:P36627
PomBase:SPAC13D6.03c	UniProtKB:Q10224
PomBase:SPAC13D6.04c	UniProtKB:Q10225
PomBase:SPAC4G9.09c	UniProtKB:P31318
PomBase:SPAC4G9.11c	UniProtKB:Q10241
PomBase:SPAC4G9.12	UniProtKB:Q10242
PomBase:SPAC4G9.13c	UniProtKB:Q10243
PomBase:SPAC4G9.15	UniProtKB:Q10245
PomBase:SPAC4G9.19	UniProtKB:Q10247
PomBase:SPAC13G7.01c	UniProtKB:Q10231
PomBase:SPAC13G7.02c	UniProtKB:Q10265
PomBase:SPAC13G7.03	UniProtKB:Q9US99
PomBase:SPAC13G7.03	UniProtKB:Q10267
PomBase:SPAC13G7.04c	UniProtKB:Q9USB5
PomBase:SPAC13G7.04c	UniProtKB:Q10268
PomBase:SPAC13G7.05	UniProtKB:Q10269
PomBase:SPAC13G7.08c	UniProtKB:Q10272
PomBase:SPAC13G7.09c	UniProtKB:Q10273
PomBase:SPAC13G7.10	UniProtKB:P78793
PomBase:SPAC13G7.10	UniProtKB:Q10274
PomBase:SPAC13G7.11	UniProtKB:Q10275
PomBase:SPAC13G7.12c	UniProtKB:Q10276
PomBase:SPAC6C3.02c	UniProtKB:Q10307
PomBase:SPAC6C3.03c	UniProtKB:Q9Y7I3
PomBase:SPAC6C3.05	UniProtKB:Q10308
PomBase:SPAC6C3.09	UniProtKB:Q10312
PomBase:SPAC17G8.02	UniProtKB:Q10314
PomBase:SPAC17G8.03c	UniProtKB:Q10315
PomBase:SPAC17G8.07	UniProtKB:Q10319
PomBase:SPAC17G8.10c	UniProtKB:Q10322
PomBase:SPAC17G8.11c	UniProtKB:Q9US96
PomBase:SPAC17G8.11c	UniProtKB:Q10323
PomBase:SPAC17G8.12	UniProtKB:Q10324
PomBase:SPAC22H10.03c	UniProtKB:Q10297
PomBase:SPAC22H10.05c	UniProtKB:Q10299
PomBase:SPAC22H10.13	UniProtKB:Q9UTC0
PomBase:SPAC22H10.07	UniProtKB:P40996
PomBase:SPAC22H10.11c	UniProtKB:Q10304
PomBase:SPAC15F9.03c	UniProtKB:Q10100
PomBase:SPAC1B9.02c	UniProtKB:P50530
PomBase:SPAC6B12.02c	UniProtKB:O14207
PomBase:SPAC6B12.05c	UniProtKB:O14210
PomBase:SPAC6B12.06c	UniProtKB:O14211
PomBase:SPAC6B12.09	UniProtKB:O14214
PomBase:SPAC6B12.10c	UniProtKB:O14215
PomBase:SPAC6B12.11	UniProtKB:O14216
PomBase:SPAC6B12.12	UniProtKB:O14217
PomBase:SPAC6B12.13	UniProtKB:O14218
PomBase:SPAC6B12.15	UniProtKB:Q10281
PomBase:SPAC32A11.04c	UniProtKB:P56329
PomBase:SPAC32A11.02c	UniProtKB:Q10327
PomBase:SPAC19A8.15	UniProtKB:O13831
PomBase:SPAC19A8.13	UniProtKB:O13829
PomBase:SPAC19A8.12	UniProtKB:O13828
PomBase:SPAC19A8.11c	UniProtKB:O13827
PomBase:SPAC19A8.09	UniProtKB:O13825
PomBase:SPAC19A8.08	UniProtKB:O13824
PomBase:SPAC19A8.06	UniProtKB:O13822
PomBase:SPAC19A8.05c	UniProtKB:O13821
PomBase:SPAC23H3.05c	UniProtKB:O42858
PomBase:SPAC23H3.06	UniProtKB:O13939
PomBase:SPAC23H3.07c	UniProtKB:O42859
PomBase:SPAC23H3.08c	UniProtKB:O42860
PomBase:SPAC23H3.10	UniProtKB:O14470
PomBase:SPAC23H3.13c	UniProtKB:Q04665
PomBase:SPAC23H3.14	UniProtKB:O13943
PomBase:SPAC23H3.15c	UniProtKB:P78890
PomBase:SPAC25H1.03	UniProtKB:O13978
PomBase:SPAC25H1.10c	UniProtKB:C6Y4A3
PomBase:SPAC25H1.07	UniProtKB:O13981
PomBase:SPAC25H1.08c	UniProtKB:O13982
