#WormPep	CDS	SwissProtAc	SwissProtID	Description	
RP:RP00203	cr01.sctg4.wum.233.1			
RP:RP00204	cr01.sctg3.wum.357.1			
RP:RP00205	cr01.sctg1.wum.1037.1			
RP:RP00206	cr01.sctg1381.wum.1.1			
RP:RP00207	cr01.sctg594.wum.7.1			
RP:RP00208	cr01.sctg92.wum.31.1			
RP:RP00209	cr01.sctg162.wum.1.1			
RP:RP00210	cr01.sctg3.wum.635.1			
RP:RP00211	cr01.sctg0.wum.835.1			
RP:RP00212	cr01.sctg2.wum.16.1			
RP:RP00213	cr01.sctg286.wum.12.1			
RP:RP00214	cr01.sctg1.wum.742.1			
RP:RP00215	cr01.sctg283.wum.6.1			
RP:RP00216	cr01.sctg106.wum.56.1			
RP:RP00217	cr01.sctg5.wum.521.1			
RP:RP00218	cr01.sctg2199.wum.1.1			
RP:RP00219	cr01.sctg772.wum.2.1			
RP:RP00220	cr01.sctg82.wum.2.1			
RP:RP00221	cr01.sctg189.wum.16.1			
RP:RP00222	cr01.sctg199.wum.13.1			
RP:RP00223	cr01.sctg3.wum.109.1			
RP:RP00224	cr01.sctg229.wum.12.1			
RP:RP00225	cr01.sctg931.wum.4.1			
RP:RP00226	cr01.sctg365.wum.1.1			
RP:RP00227	cr01.sctg93.wum.72.1			
RP:RP00228	cr01.sctg551.wum.1.1			
RP:RP00229	cr01.sctg3654.wum.1.1			
RP:RP00230	cr01.sctg206.wum.2.1			
RP:RP00231	cr01.sctg250.wum.2.1			
RP:RP00232	cr01.sctg3600.wum.2.1			
RP:RP00233	cr01.sctg7.wum.393.1			
RP:RP00234	cr01.sctg63.wum.29.1			
RP:RP00235	cr01.sctg0.wum.666.1			
RP:RP00236	cr01.sctg0.wum.557.1			
RP:RP00237	cr01.sctg10.wum.142.1			
RP:RP00238	cr01.sctg13.wum.229.1			
RP:RP00239	cr01.sctg249.wum.3.1			
RP:RP00240	cr01.sctg2077.wum.1.1			
RP:RP00241	cr01.sctg36.wum.28.1			
RP:RP00242	cr01.sctg6787.wum.2.1			
RP:RP00243	cr01.sctg43.wum.48.1			
RP:RP00244	cr01.sctg3.wum.626.1			
RP:RP00245	cr01.sctg278.wum.4.1			
RP:RP00246	cr01.sctg16.wum.3.1			
RP:RP00247	cr01.sctg14.wum.158.1			
RP:RP00248	cr01.sctg238.wum.9.1			
RP:RP00249	cr01.sctg87.wum.34.1			
RP:RP00250	cr01.sctg95.wum.38.1			
RP:RP00251	cr01.sctg42.wum.45.1			
RP:RP00252	cr01.sctg26.wum.73.1			
RP:RP00253	cr01.sctg6.wum.236.1			
RP:RP00254	cr01.sctg2342.wum.2.1			
RP:RP00255	cr01.sctg3430.wum.1.1			
RP:RP00256	cr01.sctg91.wum.17.1			
RP:RP00257	cr01.sctg156.wum.22.1			
RP:RP00258	cr01.sctg39.wum.54.1			
RP:RP00259	cr01.sctg2.wum.593.1			
RP:RP00260	cr01.sctg2384.wum.1.1			
RP:RP00261	cr01.sctg795.wum.4.1			
RP:RP00262	cr01.sctg198.wum.17.1			
RP:RP00263	cr01.sctg25.wum.53.1			
RP:RP00264	cr01.sctg155.wum.23.1			
RP:RP00265	cr01.sctg115.wum.31.1			
RP:RP00266	cr01.sctg29.wum.91.1			
RP:RP00267	cr01.sctg44.wum.10.2			
RP:RP00268	cr01.sctg3.wum.32.1			
RP:RP00269	cr01.sctg227.wum.12.1			
RP:RP00270	cr01.sctg6754.wum.1.1			
RP:RP00271	cr01.sctg75.wum.29.1			
RP:RP00272	cr01.sctg5497.wum.1.1			
RP:RP00273	cr01.sctg1.wum.274.1			
RP:RP00274	cr01.sctg18.wum.187.1			
RP:RP00275	cr01.sctg2906.wum.2.1			
RP:RP00276	cr01.sctg34.wum.61.1			
RP:RP00277	cr01.sctg4.wum.549.1			
RP:RP00278	cr01.sctg120.wum.1.1			
RP:RP00279	cr01.sctg5.wum.491.1			
RP:RP00280	cr01.sctg22.wum.59.1			
RP:RP00281	cr01.sctg432.wum.3.1			
RP:RP00282	cr01.sctg56.wum.55.1			
RP:RP00283	cr01.sctg2.wum.107.1			
RP:RP00284	cr01.sctg0.wum.442.1			
RP:RP00285	cr01.sctg1690.wum.1.1			
RP:RP00286	cr01.sctg747.wum.3.1			
RP:RP00287	cr01.sctg2.wum.378.1			
RP:RP00288	cr01.sctg1.wum.34.1			
RP:RP00289	cr01.sctg360.wum.4.1			
RP:RP00290	cr01.sctg1.wum.420.1			
RP:RP00291	cr01.sctg8223.wum.1.1			
RP:RP00292	cr01.sctg0.wum.863.1			
RP:RP00293	cr01.sctg0.wum.625.1			
RP:RP00294	cr01.sctg154.wum.34.1			
RP:RP00295	cr01.sctg42.wum.37.1			
RP:RP00296	cr01.sctg14.wum.25.1			
RP:RP00297	cr01.sctg9393.wum.1.1			
RP:RP00298	cr01.sctg234.wum.2.1			
RP:RP00299	cr01.sctg28.wum.86.1			
RP:RP00300	cr01.sctg6.wum.241.2			
RP:RP00301	cr01.sctg1.wum.278.1			
RP:RP00302	cr01.sctg103.wum.4.1			
RP:RP00303	cr01.sctg31.wum.23.1			
RP:RP00304	cr01.sctg28.wum.92.1			
RP:RP00305	cr01.sctg12.wum.153.1			
RP:RP00306	cr01.sctg2.wum.77.1			
RP:RP00307	cr01.sctg104.wum.63.1			
RP:RP00308	cr01.sctg14.wum.220.1			
RP:RP00309	cr01.sctg1.wum.1022.1			
RP:RP00310	cr01.sctg0.wum.556.1			
RP:RP00311	cr01.sctg6302.wum.1.1			
RP:RP00312	cr01.sctg2615.wum.2.1			
RP:RP00313	cr01.sctg2144.wum.1.1			
RP:RP00314	cr01.sctg1437.wum.1.1			
RP:RP00315	cr01.sctg49.wum.51.1			
RP:RP00316	cr01.sctg59.wum.2.1			
RP:RP00317	cr01.sctg4.wum.429.1			
RP:RP00318	cr01.sctg14.wum.355.1			
RP:RP00319	cr01.sctg337.wum.5.1			
RP:RP00320	cr01.sctg46.wum.46.1			
RP:RP00321	cr01.sctg385.wum.3.1			
RP:RP00322	cr01.sctg135.wum.8.1			
RP:RP00323	cr01.sctg19.wum.127.1			
RP:RP00324	cr01.sctg9245.wum.1.1			
RP:RP00325	cr01.sctg248.wum.4.1			
RP:RP00326	cr01.sctg276.wum.6.1			
RP:RP00327	cr01.sctg6.wum.441.2			
RP:RP00328	cr01.sctg9.wum.19.1			
RP:RP00329	cr01.sctg1512.wum.2.1			
RP:RP00330	cr01.sctg189.wum.7.1			
RP:RP00331	cr01.sctg1170.wum.1.1			
RP:RP00332	cr01.sctg6.wum.112.1			
RP:RP00333	cr01.sctg47.wum.6.1			
RP:RP00334	cr01.sctg14.wum.74.1			
RP:RP00335	cr01.sctg3809.wum.2.1			
RP:RP00336	cr01.sctg2437.wum.2.1			
RP:RP00337	cr01.sctg2174.wum.1.1			
RP:RP00338	cr01.sctg128.wum.30.1			
RP:RP00339	cr01.sctg16.wum.174.1			
RP:RP00340	cr01.sctg78.wum.41.1			
RP:RP00341	cr01.sctg5.wum.540.1			
RP:RP00342	cr01.sctg0.wum.993.1			
RP:RP00343	cr01.sctg22.wum.6.1			
RP:RP00344	cr01.sctg6.wum.15.1			
RP:RP00345	cr01.sctg44.wum.53.1			
RP:RP00346	cr01.sctg1.wum.407.1			
RP:RP00347	cr01.sctg32.wum.133.1			
RP:RP00348	cr01.sctg11.wum.112.1			
RP:RP00349	cr01.sctg10.wum.392.1			
RP:RP00350	cr01.sctg1719.wum.2.1			
RP:RP00351	cr01.sctg1.wum.403.1			
RP:RP00352	cr01.sctg9261.wum.1.1			
RP:RP00353	cr01.sctg1730.wum.1.1			
RP:RP00354	cr01.sctg3.wum.617.1			
RP:RP00355	cr01.sctg234.wum.1.1			
RP:RP00356	cr01.sctg5.wum.604.1			
RP:RP00357	cr01.sctg776.wum.1.1			
RP:RP00358	cr01.sctg38.wum.50.1			
RP:RP00359	cr01.sctg6674.wum.1.1			
RP:RP00360	cr01.sctg81.wum.17.1			
RP:RP00361	cr01.sctg53.wum.13.1			
RP:RP00362	cr01.sctg4063.wum.1.1			
RP:RP00363	cr01.sctg1.wum.404.1			
RP:RP00364	cr01.sctg0.wum.250.1			
RP:RP00365	cr01.sctg20.wum.42.1			
RP:RP00366	cr01.sctg103.wum.23.1			
RP:RP00367	cr01.sctg80.wum.29.1			
RP:RP00368	cr01.sctg31.wum.148.1			
RP:RP00369	cr01.sctg560.wum.4.1			
RP:RP00370	cr01.sctg1.wum.912.1			
RP:RP00371	cr01.sctg5.wum.122.1			
RP:RP00372	cr01.sctg5.wum.225.1			
RP:RP00373	cr01.sctg1.wum.670.1			
RP:RP00374	cr01.sctg194.wum.20.1			
RP:RP00375	cr01.sctg6.wum.150.1			
RP:RP00376	cr01.sctg0.wum.326.1			
RP:RP00377	cr01.sctg200.wum.19.1			
RP:RP00378	cr01.sctg88.wum.20.1			
RP:RP00379	cr01.sctg6324.wum.1.1			
RP:RP00380	cr01.sctg114.wum.38.1			
RP:RP00381	cr01.sctg27.wum.112.1			
RP:RP00382	cr01.sctg8278.wum.1.1			
RP:RP00383	cr01.sctg72.wum.61.1			
RP:RP00384	cr01.sctg2450.wum.4.1			
RP:RP00385	cr01.sctg16.wum.261.1			
RP:RP00386	cr01.sctg677.wum.3.1			
RP:RP00387	cr01.sctg299.wum.5.1			
RP:RP00388	cr01.sctg1161.wum.1.1			
RP:RP00389	cr01.sctg56.wum.80.1			
RP:RP00390	cr01.sctg29.wum.110.1			
RP:RP00391	cr01.sctg22.wum.14.1			
RP:RP00392	cr01.sctg19.wum.43.1			
RP:RP00393	cr01.sctg2.wum.643.1			
RP:RP00394	cr01.sctg285.wum.7.1			
RP:RP00395	cr01.sctg99.wum.28.1			
RP:RP00396	cr01.sctg1.wum.1019.1			
RP:RP00397	cr01.sctg17.wum.125.2			
RP:RP00398	cr01.sctg44.wum.38.1			
RP:RP00399	cr01.sctg92.wum.30.1			
RP:RP00400	cr01.sctg957.wum.4.1			
RP:RP00401	cr01.sctg255.wum.3.1			
RP:RP00402	cr01.sctg10.wum.365.1			
RP:RP00403	cr01.sctg964.wum.2.1			
RP:RP00404	cr01.sctg246.wum.8.1			
RP:RP00405	cr01.sctg19.wum.12.1			
RP:RP00406	cr01.sctg48.wum.57.1			
RP:RP00407	cr01.sctg31.wum.81.1			
RP:RP00408	cr01.sctg185.wum.15.1			
RP:RP00409	cr01.sctg9.wum.71.1			
RP:RP00410	cr01.sctg32.wum.112.1			
RP:RP00411	cr01.sctg50.wum.4.1			
RP:RP00412	cr01.sctg48.wum.76.1			
RP:RP00413	cr01.sctg45.wum.55.1			
RP:RP00414	cr01.sctg1838.wum.1.1			
RP:RP00415	cr01.sctg513.wum.1.1			
RP:RP00416	cr01.sctg219.wum.3.1			
RP:RP00417	cr01.sctg45.wum.29.1			
RP:RP00418	cr01.sctg1.wum.347.1			
RP:RP00419	cr01.sctg72.wum.39.1			
RP:RP00420	cr01.sctg52.wum.54.1			
RP:RP00421	cr01.sctg2749.wum.1.1			
RP:RP00422	cr01.sctg63.wum.77.1			
RP:RP00423	cr01.sctg3.wum.45.1			
RP:RP00424	cr01.sctg2250.wum.1.1			
RP:RP00425	cr01.sctg1036.wum.2.1			
RP:RP00426	cr01.sctg60.wum.36.1			
RP:RP00427	cr01.sctg44.wum.21.1			
RP:RP00428	cr01.sctg229.wum.10.1			
RP:RP00429	cr01.sctg106.wum.24.1			
RP:RP00430	cr01.sctg13.wum.303.1			
RP:RP00431	cr01.sctg21.wum.92.1			
RP:RP00432	cr01.sctg2693.wum.1.1			
RP:RP00433	cr01.sctg93.wum.62.1			
RP:RP00434	cr01.sctg3290.wum.2.1			
RP:RP00435	cr01.sctg211.wum.4.1			
RP:RP00436	cr01.sctg152.wum.20.1			
RP:RP00437	cr01.sctg16.wum.186.1			
RP:RP00438	cr01.sctg1.wum.1027.1			
RP:RP00439	cr01.sctg3.wum.216.1			
RP:RP00440	cr01.sctg55.wum.15.1			
RP:RP00441	cr01.sctg68.wum.7.1			
RP:RP00442	cr01.sctg31.wum.114.1			
RP:RP00443	cr01.sctg54.wum.31.1			
RP:RP00444	cr01.sctg10.wum.14.1			
RP:RP00445	cr01.sctg323.wum.1.1			
RP:RP00446	cr01.sctg16.wum.194.1			
RP:RP00447	cr01.sctg5.wum.130.1			
RP:RP00448	cr01.sctg97.wum.6.1			
RP:RP00449	cr01.sctg4.wum.387.1			
RP:RP00450	cr01.sctg1.wum.524.1			
RP:RP00451	cr01.sctg0.wum.787.1			
RP:RP00452	cr01.sctg98.wum.17.1			
RP:RP00453	cr01.sctg14.wum.376.1			
RP:RP00454	cr01.sctg9.wum.74.1			
RP:RP00455	cr01.sctg7.wum.134.1			
RP:RP00456	cr01.sctg124.wum.27.1			
RP:RP00457	cr01.sctg4.wum.440.1			
RP:RP00458	cr01.sctg2.wum.68.1			
RP:RP00459	cr01.sctg141.wum.7.1			
RP:RP00460	cr01.sctg90.wum.37.1			
RP:RP00461	cr01.sctg3.wum.356.3			
RP:RP00462	124155			
RP:RP00463	cr01.sctg189.wum.9.1			
RP:RP00464	cr01.sctg15.wum.156.1			
RP:RP00465	cr01.sctg0.wum.407.1			
RP:RP00466	cr01.sctg28.wum.46.1			
RP:RP00467	cr01.sctg0.wum.108.1			
RP:RP00468	cr01.sctg316.wum.6.1			
RP:RP00469	cr01.sctg267.wum.15.1			
RP:RP00470	cr01.sctg242.wum.1.1			
RP:RP00471	cr01.sctg154.wum.33.1			
RP:RP00472	cr01.sctg20.wum.80.1			
RP:RP00473	cr01.sctg179.wum.17.1			
RP:RP00474	cr01.sctg436.wum.1.1			
RP:RP00475	cr01.sctg179.wum.36.1			
RP:RP00476	cr01.sctg132.wum.12.1			
RP:RP00477	cr01.sctg733.wum.4.1			
RP:RP00478	cr01.sctg117.wum.16.1			
RP:RP00479	cr01.sctg439.wum.1.1			
RP:RP00480	cr01.sctg45.wum.17.1			
RP:RP00481	cr01.sctg1242.wum.1.1			
RP:RP00482	cr01.sctg1.wum.401.1			
RP:RP00483	cr01.sctg117.wum.4.1			
RP:RP00484	cr01.sctg131.wum.7.1			
RP:RP00485	cr01.sctg16.wum.17.1			
RP:RP00486	cr01.sctg152.wum.34.1			
RP:RP00487	cr01.sctg4.wum.241.1			
RP:RP00488	cr01.sctg113.wum.54.1			
RP:RP00489	cr01.sctg8.wum.74.1			
RP:RP00490	cr01.sctg15.wum.76.1			
RP:RP00491	cr01.sctg16.wum.207.1			
RP:RP00492	cr01.sctg780.wum.1.1			
RP:RP00493	cr01.sctg281.wum.7.1			
RP:RP00494	cr01.sctg71.wum.17.1			
RP:RP00495	cr01.sctg87.wum.51.1			
RP:RP00496	cr01.sctg363.wum.4.1			
RP:RP00497	cr01.sctg14.wum.270.1			
RP:RP00498	cr01.sctg2.wum.430.1			
RP:RP00499	cr01.sctg130.wum.22.1			
RP:RP00500	cr01.sctg2494.wum.1.1			
RP:RP00501	cr01.sctg274.wum.1.1			
RP:RP00502	cr01.sctg49.wum.61.1			
RP:RP00503	cr01.sctg7.wum.528.1			
RP:RP00504	cr01.sctg142.wum.3.1			
RP:RP00505	cr01.sctg66.wum.35.1			
RP:RP00506	cr01.sctg23.wum.69.1			
RP:RP00507	cr01.sctg974.wum.3.1			
RP:RP00508	cr01.sctg0.wum.1081.1			
RP:RP00509	cr01.sctg25.wum.5.1			
RP:RP00510	cr01.sctg119.wum.10.1			
RP:RP00511	cr01.sctg177.wum.16.1			
RP:RP00512	cr01.sctg29.wum.64.1			
RP:RP00513	cr01.sctg145.wum.35.1			
RP:RP00514	cr01.sctg954.wum.5.1			
RP:RP00515	cr01.sctg4002.wum.1.1			
RP:RP00516	cr01.sctg13.wum.268.1			
RP:RP00517	cr01.sctg46.wum.40.1			
RP:RP00518	cr01.sctg26.wum.171.1			
RP:RP00519	cr01.sctg130.wum.24.1			
RP:RP00520	cr01.sctg35.wum.59.3			
RP:RP00521	cr01.sctg218.wum.13.1			
RP:RP00522	cr01.sctg6552.wum.1.1			
RP:RP00523	cr01.sctg1493.wum.2.1			
RP:RP00524	cr01.sctg367.wum.5.1			
RP:RP00525	cr01.sctg3289.wum.1.1			
RP:RP00526	cr01.sctg496.wum.5.1			
RP:RP00527	cr01.sctg44.wum.20.1			
RP:RP00528	cr01.sctg7.wum.486.1			
RP:RP00529	cr01.sctg82.wum.5.1			
RP:RP00530	cr01.sctg3.wum.107.1			
RP:RP00531	cr01.sctg190.wum.22.1			
RP:RP00532	cr01.sctg157.wum.8.1			
RP:RP00533	cr01.sctg1221.wum.1.1			
RP:RP00534	cr01.sctg6.wum.425.1			
RP:RP00535	cr01.sctg3.wum.341.1			
RP:RP00536	cr01.sctg1855.wum.1.1			
RP:RP00537	cr01.sctg20.wum.18.1			
RP:RP00538	cr01.sctg4.wum.132.1			
RP:RP00539	cr01.sctg194.wum.18.1			
RP:RP00540	cr01.sctg6.wum.266.1			
RP:RP00541	cr01.sctg55.wum.41.1			
RP:RP00542	cr01.sctg17.wum.117.1			
RP:RP00543	cr01.sctg16.wum.119.1			
RP:RP00544	cr01.sctg62.wum.14.1			
RP:RP00545	cr01.sctg1.wum.469.1			
RP:RP00546	cr01.sctg1.wum.678.1			
RP:RP00547	cr01.sctg474.wum.2.1			
RP:RP00548	cr01.sctg77.wum.29.1			
RP:RP00549	cr01.sctg15.wum.117.1			
RP:RP00550	cr01.sctg0.wum.22.1			
RP:RP00551	cr01.sctg1094.wum.1.1			
RP:RP00552	cr01.sctg32.wum.66.1			
RP:RP00553	cr01.sctg289.wum.3.1			
RP:RP00554	cr01.sctg200.wum.27.1			
RP:RP00555	cr01.sctg52.wum.70.1			
