GENE ID	Gene Name	Synonyms	Gene products
DDB_G0267396	kif2	K2, GPK2, ksnB	kinesin-14, kinesin family member 2
DDB_G0267398	gppA	GP100, P29F8, dajumin	glycoprotein gp100
DDB_G0267400	hspD	hsc90	heat shock protein Hsp90 family protein
DDB_G0267402	H3a	DdH3	histone H3
DDB_G0267404	kif6	K6, ksnF	SAM domain-containing protein, kinesin-13, kinesin family member 6
DDB_G0267406	lmpA		lysosomal integral membrane glycoprotein
DDB_G0267408	psmA3	veg108, rcdX, prtD	20S proteasome subunit alpha-3, proteasome subunit alpha type 3, 20S proteasome subunit C8
DDB_G0267410	pslA		unknown
DDB_G0267412	pspA	D19, psA, SP29, ponG	cell surface glycoprotein PsA precursor, ponticulin-related protein
DDB_G0267414	repD	RAD3, TFIIH-XPD, ERCC2, XPD	transcription factor IIH component
DDB_G0267416	rpmA	RPO41	DNA-dependent RNA polymerase
DDB_G0267418	sahA	SAHH	S-adenosyl-L-homocysteine hydrolase, adenosylhomocysteinase, AdoHyc hydrolase
DDB_G0267420	sodA	SOD	superoxide dismutase
DDB_G0267422	tipC	DG1038, vps13, vps13C	
DDB_G0267424	amtC		ammonium transporter
DDB_G0267426	cshA		citrate synthase
DDB_G0267428	abcH2		putative non-transporter ABC protein
DDB_G0267430	abcG20		ABC transporter G family protein
DDB_G0267432	abcG15		ABC transporter G family protein
DDB_G0267434	DDB_G0267434		unknown
DDB_G0267436	abcF4		putative non-transporter ABC protein
DDB_G0267438	abcA2		ABC transporter A family protein
DDB_G0267440	lmpC		lysosomal integral membrane protein II
DDB_G0267442	cdk8	Ddcdk8, CDK	protein serine/threonine kinase, CDK family protein kinase, cyclin-dependent kinase, CTD kinase, protein kinase, CMGC group
DDB_G0267444	phg1a	phg1	TM9 protein A
DDB_G0267446	cnbA	CNB	protein phosphatase 2B, protein serine/threonine phosphatase, CaM-dependent protein phosphatase, regulatory subunit, calcineurin B
DDB_G0267448	DDB_G0267448		erg4/erg24 family protein
DDB_G0267450	pakC		p21-activated protein kinase, putative protein serine/threonine kinase, pleckstrin homology (PH) domain-containing protein, STE20 family protein kinase, PH domain-containing protein, protein kinase, STE group, PAKA subfamily protein kinase
DDB_G0267452	sonA	ubqln	UAS domain-containing protein, ubiquilin domain-containing protein
DDB_G0267454	ancA	slc25a4, ANT	ADP/ATP translocase, transmembrane protein, mitochondrial substrate carrier family protein
DDB_G0267456	CBP2		calcium-binding protein
DDB_G0267458	DDB_G0267458	PLK330, AAC4	unknown
DDB_G0267460	cybA	p22phox	p22-like superoxide-generating NADPH oxidase light subunit, flavocytochrome b small subunit
DDB_G0267462	Dd5P4	PI5P4, RacGAP	RhoGAP domain-containing protein, inositol 5-phosphatase
DDB_G0267464	polA		mitochondrial DNA polymerase A, DNA polymerase A family protein, 5'-3' exonuclease domain-containing protein, 3'-5' exonuclease domain-containing protein
DDB_G0267466	cupA		calcium up-regulated protein, ricin B lectin domain-containing protein
DDB_G0267468	adprt4	parp-4, PARP4, pARTe	poly(ADP-ribosyl)transferase, NAD+ ADP-ribosyltransferase, BRCT domain-containing protein
DDB_G0267470	dicB		discoidin-inducing complex (DIC) protein
DDB_G0267472	roco7		WD40 repeat-containing protein, protein kinase, TKL group, tyrosine kinase-like protein, ROCO family protein kinase
DDB_G0267474	sigD		spore coat protein
DDB_G0267476	sigK		EGF-like domain-containing protein
DDB_G0267480	nup93	nic96	nucleoporin 93
DDB_G0267482	DDB_G0267482		
DDB_G0267484	acp1		acid phosphatase 1
DDB_G0267486	DDB_G0267486		2Fe-2S type ferredoxin
DDB_G0267488	DDB_G0267488		
DDB_G0267490	ChLim		LIM-type zinc finger-containing protein, calponin homology (CH) domain-containing protein
DDB_G0267492	DDB_G0267492		peptidase M41, FtsH domain-containing protein
DDB_G0267494	DDB_G0267494		
DDB_G0267496	DDB_G0267496		
DDB_G0267498	pgpep		pyroglutamyl-peptidase I, pyrrolidone-carboxylate peptidase
DDB_G0267500	DDB_G0267500		phosphoesterase, PA-phosphatase related-family protein, PAP2 family protein
DDB_G0267502	DDB_G0267502		
DDB_G0267504	DDB_G0267504		putative amino acid permease
DDB_G0267506	aslH		putative acetyl-CoA synthetase
DDB_G0267508	DDB_G0267508		UPF0041 family protein
DDB_G0267510	DDB_G0267510		coiled-coil domain containing protein
DDB_G0267512	DDB_G0267512		peptidase M22 family protein
DDB_G0267514	DDB_G0267514		protein kinase, TKL group, tyrosine kinase-like protein
DDB_G0267516	dhx57		DEAD/DEAH box helicase, RWD domain-containing protein
DDB_G0267518	DDB_G0267518		
DDB_G0267520	DDB_G0267520		
DDB_G0267522	DDB_G0267522		
DDB_G0267524	ssr3	TRAP-gamma	translocon-associated protein TRAP gamma subunit
DDB_G0267526	DDB_G0267526		
DDB_G0267528	DDB_G0267528		Genomic DNA, chromosome 5, P1 clone:MDN11 (Hypothetical protein) (At5g48020).
DDB_G0267530	DDB_G0267530		
DDB_G0267532	DDB_G0267532		
DDB_G0267534	DDB_G0267534		
DDB_G0267536	hibch		3-hydroxyisobutyryl-Coenzyme A hydrolase
DDB_G0267538	DDB_G0267538	arfGAP	Arf GTPase activating protein
DDB_G0267540	scy1	DdNTKL	N-terminal kinase-like (NTKL) protein, SCY1 family protein kinase
DDB_G0267542	DDB_G0267542		
DDB_G0267544	aslM		putative acetyl-CoA synthetase, AMP-dependent synthetase and ligase domain-containing protein
DDB_G0267546	DDB_G0267546		
DDB_G0267548	elmoF		engulfment and cell motility ELM family protein
DDB_G0267550	DDB_G0267550		
DDB_G0267552	DDB_G0267552		putative NADH dehydrogenase (ubiquinone), putative NADH-ubiquinone oxidoreductase 13 kDa subunit
DDB_G0267554	DDB_G0267554		
DDB_G0267556	DDB_G0267556		SNF2-related domain-containing protein, CHR group protein, helicase, C-terminal domain-containing protein
DDB_G0267558	DDB_G0267558		
DDB_G0267560	uprt		uracil phosphoribosyltransferase
DDB_G0267562	DDB_G0267562		
DDB_G0267564	DDB_G0267564		
DDB_G0267566	DDB_G0267566		putative protein serine/threonine kinase, ankyrin repeat-containing protein
DDB_G0267568	gacO	RacGAP	RhoGAP domain-containing protein
DDB_G0267570	DDB_G0267570		
DDB_G0267572	DDB_G0267572		
DDB_G0267574	DDB_G0267574		phosphoglycerate mutase family protein
DDB_G0267576	DDB_G0267576		
DDB_G0267578	DDB_G0267578		
DDB_G0267580	DDB_G0267580		
DDB_G0267582	DDB_G0267582		
DDB_G0267584	adcE		LIM-type zinc finger-containing protein, arrestin domain-containing protein
DDB_G0267586	DDB_G0267586		
DDB_G0267588	DDB_G0267588		putative phosphatidylinositol phosphate kinase
DDB_G0267590	DDB_G0267590		GRAM domain-containing protein, v-SNARE family protein
DDB_G0267592	DDB_G0267592		
DDB_G0267594	pfdn2		prefoldin beta-like domain containing protein, prefoldin subunit 2
DDB_G0267596	DDB_G0267596		
DDB_G0267598	DDB_G0267598		enoyl-CoA hydratase/isomerase domain-containing protein
DDB_G0267600	DDB_G0267600		enoyl-CoA hydratase/isomerase domain-containing protein
DDB_G0267602	DDB_G0267602		
DDB_G0267604	mserS	serRS	seryl-tRNA synthetase, serine-tRNA ligase, serine-tRNA ligase, mitochondrial, seryl-tRNA synthetase, mitochondrial
DDB_G0267606	fcf1	UTP24	FCF1 family protein, PINc domain-containing protein
DDB_G0267608	DDB_G0267608		
DDB_G0267610	DDB_G0267610		NAD-dependent epimerase/dehydratase family protein
DDB_G0267612	DDB_G0267612		
DDB_G0267614	DDB_G0267614		
DDB_G0267616	DDB_G0267616		
DDB_G0267618	DDB_G0267618		
DDB_G0267620	DDB_G0267620		
DDB_G0267622	srp9		signal recognition particle 9 kDa subunit
DDB_G0267624	DDB_G0267624		
DDB_G0267626	DDB_G0267626		
DDB_G0267628	DDB_G0267628		
DDB_G0267630	kil1		sulfotransferase
DDB_G0267632	DDB_G0267632		
DDB_G0267634	DDB_G0267634		Cell differentiation protein rcd1, putative.
DDB_G0267636	mybM		putative myb transcription factor
DDB_G0267638	DDB_G0267638		myb domain-containing protein, SNF2-related domain-containing protein, CHR group protein, helicase, C-terminal domain-containing protein
DDB_G0267640	gtaE		putative GATA-binding transcription factor, GATA zinc finger domain-containing protein 5
DDB_G0267642	DDB_G0267642		
DDB_G0267644	DDB_G0267644		
DDB_G0267646	sec20		sec20 family protein
DDB_G0267648	DDB_G0267648		
DDB_G0267650	ireA		putative protein serine/threonine kinase, putative endoribonuclease, IRE family protein kinase
DDB_G0267652	DDB_G0267652		
DDB_G0267654	tgrO2		immunoglobulin E-set domain-containing protein
DDB_G0267656	l2hgdh		L-2-hydroxyglutarate dehydrogenase
DDB_G0267658	DDB_G0267658		
DDB_G0267660	DDB_G0267660		
DDB_G0267662	DDB_G0267662		
DDB_G0267664	DDB_G0267664		
DDB_G0267666	gefW	RasGEFW, RasGEF	RasGEF domain-containing protein
DDB_G0267668	hspL		heat shock protein Hsp20 domain-containing protein, putative alpha-crystallin-type heat shock protein
DDB_G0267670	DDB_G0267670		
DDB_G0267672	DDB_G0267672		
DDB_G0267674	glcS		glycogen synthase
DDB_G0267676	DDB_G0267676		
DDB_G0267678	DDB_G0267678		
DDB_G0267680	DDB_G0267680		unknown
DDB_G0267682	ercc1		DNA excision repair protein 1
DDB_G0267684	DDB_G0267684		putative cell surface glycoprotein
DDB_G0267686	DDB_G0267686		RGS domain-containing protein, protein kinase, TKL group, tyrosine kinase-like protein, ARK family protein kinase
DDB_G0267688	cpnD		phospholipid-binding protein, copine D
DDB_G0267690	icpA	DdINCENP, INCENP	inner centromere protein, ARK binding region family protein
DDB_G0267692	DDB_G0267692		EGF-like domain-containing protein
DDB_G0267694	DDB_G0267694		
DDB_G0267696	DDB_G0267696		
DDB_G0267698	DDB_G0267698		rhodanese-like domain-containing protein
DDB_G0267700	DDB_G0267700		
DDB_G0267702	DDB_G0267702		
DDB_G0267704	mcfT	slc25a21	mitochondrial substrate carrier family protein, mitochondrial 2-oxodicarboxylate carrier protein, putative mitochondrial 2-oxodicarboxylate transporter
DDB_G0267706	DDB_G0267706		
DDB_G0267708	vps25		vacuolar protein sorting 25
DDB_G0267710	DDB_G0267710		
DDB_G0267712	DDB_G0267712		
DDB_G0267714	sf3b4		RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM, splicing factor 3B subunit 4
DDB_G0267716	DDB_G0267716		
DDB_G0267718	DDB_G0267718		
DDB_G0267720	DDB_G0267720		
DDB_G0267722	DDB_G0267722		
DDB_G0267724	DDB_G0267724		
DDB_G0267726	uduA2		unknown
DDB_G0267728	uduA3		unknown
DDB_G0267730	dst2	DstB	putative protein serine/threonine kinase, STE20 family protein kinase, protein kinase, STE group
DDB_G0267732	DDB_G0267732		
DDB_G0267734	DDB_G0267734		putative SAM dependent methyltransferase
DDB_G0267736	DDB_G0267736		Group-specific antigen.
DDB_G0267738	DDB_G0267738		Group-specific antigen.
DDB_G0267740	DDB_G0267740		
DDB_G0267742	DDB_G0267742		putative acylaminoacyl-peptidase
DDB_G0267744	DDB_G0267744		
DDB_G0267746	DDB_G0267746		
DDB_G0267748	cdc45		cell division cycle protein 45
DDB_G0267750	DDB_G0267750		
DDB_G0267752	DDB_G0267752		
DDB_G0267754	DDB_G0267754		
DDB_G0267756	DDB_G0267756		
DDB_G0267758	DDB_G0267758		type A von Willebrand factor (VWFA) domain-containing protein
DDB_G0267760	tbck		RabGAP/TBC domain-containing protein, TBCK family protein kinase
DDB_G0267762	DDB_G0267762		
DDB_G0267764	DDB_G0267764		
DDB_G0267766	gfm2		mitochondrial translation elongation factor G
DDB_G0267768	DDB_G0267768		metal-dependent protein hydrolase domain-containing protein
DDB_G0267770	DDB_G0267770		
DDB_G0267772	DDB_G0267772		
DDB_G0267774	abkC	AdckC	putative protein serine/threonine kinase, ABC1 family protein kinase, protein kinase, Atypical group, ABC1-C subfamily protein kinase
DDB_G0267776	DDB_G0267776		
DDB_G0267778	DDB_G0267778_RTE		gag
DDB_G0267780	DDB_G0267780_RTE		reverse transcriptase
DDB_G0267782	DDB_G0267782		
DDB_G0267784	DDB_G0267784		Similar to Dictyostelium discoideum (Slime mold). MkpA protein.
DDB_G0267786	DDB_G0267786		pleckstrin homology (PH) domain-containing protein
DDB_G0267788	DDB_G0267788		
DDB_G0267790	DDB_G0267790		
DDB_G0267792	DDB_G0267792		
DDB_G0267794	DDB_G0267794		
DDB_G0267796	DDB_G0267796		initiation factor eIF-4 gamma middle domain-containing protein, putative RNA splicing factor, initiation factor eIF-4 gamma, MA3 domain-containing protein
DDB_G0267798	DDB_G0267798		
DDB_G0267800	DDB_G0267800		
DDB_G0267802	DDB_G0267802		
DDB_G0267804	DDB_G0267804		
DDB_G0267806	DDB_G0267806		
DDB_G0267808	DDB_G0267808		
DDB_G0267810	DDB_G0267810		
DDB_G0267812	DDB_G0267812		
DDB_G0267814	DDB_G0267814		
DDB_G0267816	DDB_G0267816		
DDB_G0267818	DDB_G0267818		
DDB_G0267820	DDB_G0267820		
DDB_G0267822	DDB_G0267822		Q8TXM4 Hypothetical UPF0293 protein MK0638.
DDB_G0267824	DDB_G0267824		
DDB_G0267826	DDB_G0267826		
DDB_G0267828	DDB_G0267828		
DDB_G0267830	gemA	Miro	mitochondrial GTPase, Ras-related GTPase
DDB_G0267832	DDB_G0267832		
DDB_G0267834	DDB_G0267834		
DDB_G0267836	DDB_G0267836		
DDB_G0267838	DDB_G0267838		unknown
DDB_G0267840	DDB_G0267840		
DDB_G0267842	DDB_G0267842		nmrA-like family protein
DDB_G0267844	expl6	DdExpl6	expansin-like protein
DDB_G0267846	expl1	DdExpl1	expansin-like protein
DDB_G0267848	DDB_G0267848		beta-lactamase-type transpeptidase fold containing protein
DDB_G0267850	DDB_G0267850		ribosomal protein L1 family protein
DDB_G0267852	DDB_G0267852		maf family protein
DDB_G0267854	gxcD	RacGEF, gflA	RhoGEF domain-containing protein, calponin homology (CH) domain-containing protein, villin headpiece (VHP) domain-containing protein
DDB_G0267856	DDB_G0267856		FNIP repeat-containing protein
DDB_G0267858	DDB_G0267858		
DDB_G0267860	DDB_G0267860		
DDB_G0267862	DDB_G0267862		unknown
DDB_G0267864	DDB_G0267864		
DDB_G0267866	DDB_G0267866		proteasome maturation factor UMP1 family protein
DDB_G0267868	DDB_G0267868		Similar to Dictyostelium discoideum (Slime mold). hypothetical 97.7 kDa protein.
DDB_G0267870	rnf113		RING zinc finger-containing protein, CCCH-type zinc finger-containing protein
DDB_G0267872	DDB_G0267872		NOL1/NOP2/Sun family protein
DDB_G0267874	DDB_G0267874		
DDB_G0267876	DDB_G0267876		
DDB_G0267878	DDB_G0267878		
DDB_G0267880	DDB_G0267880		GCN5-related N-acetyltransferase
DDB_G0267882	DDB_G0267882		
DDB_G0267884	alg12		glycosyltransferase, dolichyl-phosphate-mannose alpha-1,6-mannosyltransferase
DDB_G0267886	DDB_G0267886		
DDB_G0267888	DDB_G0267888		
DDB_G0267890	DDB_G0267890		
DDB_G0267892	DDB_G0267892		
DDB_G0267894	DDB_G0267894		
DDB_G0267896	DDB_G0267896		
DDB_G0267898	DDB_G0267898		EGF-like domain-containing protein
DDB_G0267902	DDB_G0267902		
DDB_G0267904	DDB_G0267904		WD40 repeat-containing protein
DDB_G0267906	DDB_G0267906		OTU domain containin protein
DDB_G0267908	DDB_G0267908		
DDB_G0267910	DDB_G0267910		
DDB_G0267912	DDB_G0267912		
DDB_G0267914	DDB_G0267914		
DDB_G0267916	mtmr15		myotubularin related protein 15
DDB_G0267918	DDB_G0267918		
DDB_G0267920	DDB_G0267920		
DDB_G0267922	DDB_G0267922		
DDB_G0267924	DDB_G0267924		P-type ATPase, transmembrane protein, sodium/potassium-transporting ATPase alpha chain 2, Na+/K+ ATPase
DDB_G0267926	DDB_G0267926		
DDB_G0267928	tmem144B		transmembrane protein 144 B
DDB_G0267930	DDB_G0267930		unknown
DDB_G0267932	DDB_G0267932		
DDB_G0267934	fnkB	FNIPK-B	FNIP repeat-containing protein, protein kinase, STE group, FNIPK subfamily protein kinase
DDB_G0267936	DDB_G0267936		hssA/2C/7E family protein
DDB_G0267938	DDB_G0267938		
DDB_G0267940	DDB_G0267940		
DDB_G0267942	DDB_G0267942		GRAM domain-containing protein
DDB_G0267944	DDB_G0267944		
DDB_G0267946	DDB_G0267946		
DDB_G0267948	DDB_G0267948		
DDB_G0267950	copE	epsilon-COP	coatomer protein complex epsilon subunit
DDB_G0267952	DDB_G0267952		
DDB_G0267954	DDB_G0267954		Y17G7B.18a protein.
DDB_G0267956	abiA	Abi2	component of SCAR regulatory complex
DDB_G0267958	DDB_G0267958		bromodomain-containing protein, SMAD/FHA domain-containing protein, BRD group protein
DDB_G0267960	cog4		oligomeric Golgi complex component
DDB_G0267962	tsuA	tsunami	putative protein serine/threonine kinase, fused-like protein kinase, ULK family protein kinase
DDB_G0267964	DDB_G0267964		unknown
DDB_G0267966	pyd1		dihydropyrimidine dehydrogenase
DDB_G0267968	DDB_G0267968		
DDB_G0267970	DDB_G0267970		
DDB_G0267972	DDB_G0267972		
DDB_G0267974	DDB_G0267974		
DDB_G0267976	aph1		gamma-secretase subunit Aph-1
DDB_G0267978	krsB	Krs2	calpain-like cysteine protease, putative protein serine/threonine kinase, STE20 family protein kinase, protein kinase, STE group, MST subfamily kinase, peptidase C2 family protein
DDB_G0267980	mocs3		molybdenum cofactor synthesis 3
DDB_G0267982	copA	alpha-COP	WD40 repeat-containing protein, coatomer protein complex alpha subunit
DDB_G0267984	DDB_G0267984		peptidase M20 family protein, putative carboxypeptidase
DDB_G0267986	DDB_G0267986		
DDB_G0267988	DDB_G0267988		
DDB_G0267990	ypel		yippee-like protein
DDB_G0267992	DDB_G0267992		dual-specificity protein phosphatase
DDB_G0267994	DDB_G0267994		DNAJ heat shock N-terminal domain-containing protein
DDB_G0267996	DDB_G0267996		
DDB_G0267998	psiS		PA14 domain-containing protein
DDB_G0268000	psiB		PA14 domain-containing protein
DDB_G0268002	DDB_G0268002_ps		pseudogene
DDB_G0268004	snrp70		U1 small nuclear ribonucleoprotein 70 kDa protein
DDB_G0268006	DDB_G0268006		
DDB_G0268008	DDB_G0268008		
DDB_G0268010	DDB_G0268010		unknown
DDB_G0268012	DDB_G0268012		response regulator receiver domain-containing protein
DDB_G0268014	gtf2h1	TF2H1, THIIH1	general transcription factor IIH component
DDB_G0268016	DDB_G0268016		unknown
DDB_G0268018	DDB_G0268018		
DDB_G0268020	bkdB	BCKDHB	3-methyl-2-oxobutanoate dehydrogenase (lipoamide), branched-chain alpha-keto acid dehydrogenase E1 beta chain
DDB_G0268022	DDB_G0268022		
DDB_G0268024	hdaA		histone deacetylase family protein, type-1 histone deacetylase
DDB_G0268026	DDB_G0268026		
DDB_G0268028	DDB_G0268028		unknown
DDB_G0268030	DDB_G0268030		
DDB_G0268032	DDB_G0268032		
DDB_G0268034	DDB_G0268034		Rab GDP dissociation inhibitor alpha
DDB_G0268036	DDB_G0268036		2,3-diketo-5-methylthio-1-phosphopentane enolase
DDB_G0268038	mtpn		myotrophin family protein
DDB_G0268040	DDB_G0268040		
DDB_G0268042	DDB_G0268042		CS domain-containing protein
DDB_G0268044	DDB_G0268044		
DDB_G0268046	DDB_G0268046		
DDB_G0268048	DDB_G0268048		UPF0172 protein
DDB_G0268050	DDB_G0268050		
DDB_G0268052	DDB_G0268052		
DDB_G0268054	DDB_G0268054		
DDB_G0268056	sptA	SPT	serine C-palmitoyltransferase subunit
DDB_G0268058	alrC		aldo-keto reductase
DDB_G0268060	DDB_G0268060		Q9FY46 Sulfate transporter 4.1, chloroplast precursor (AST82).
DDB_G0268062	DDB_G0268062		
DDB_G0268064	DDB_G0268064		esterase/lipase/thioesterase domain-containing protein
DDB_G0268066	DDB_G0268066		putative ATPase
DDB_G0268068	rab6		Rab GTPase
DDB_G0268070	DDB_G0268070		
DDB_G0268072	DDB_G0268072		
DDB_G0268074	DDB_G0268074		Q9FY46 Sulfate transporter 4.1, chloroplast precursor (AST82).
DDB_G0268076	DDB_G0268076		
DDB_G0268078	DDB_G0268078		putative protein serine/threonine kinase, protein kinase, CMGC group, RCK family protein kinase
DDB_G0268080	rpc3		RNA polymerase III subunit
DDB_G0268082	DDB_G0268082		
DDB_G0268084	wdr91		WD40 repeat-containing protein
DDB_G0268086	DDB_G0268086		
DDB_G0268088	lvsG		WD40 repeat-containing protein, BEACH domain-containing protein
DDB_G0268090	DDB_G0268090		glycoside hydrolase family 18 protein
DDB_G0268092	DDB_G0268092		SWIM-type zinc finger domain-containing protein
DDB_G0268094	DDB_G0268094		
DDB_G0268096	DDB_G0268096		
DDB_G0268098	nop58		NOP5/NOP56 family protein, nucleolar protein 58
DDB_G0268100	asnS2	asnS, AsnRS	asparagine-tRNA ligase, asparaginyl-tRNA synthetase
DDB_G0268102	DDB_G0268102		
DDB_G0268104	gabT	ABAT, GABAT, GABA transaminase, GABA transferase	4-aminobutyrate aminotransferase
DDB_G0268106	DDB_G0268106		
DDB_G0268108	DDB_G0268108		
DDB_G0268110	DDB_G0268110		Kelch repeat-containing protein, SAM domain-containing protein
DDB_G0268112	DDB_G0268112		unknown
DDB_G0268114	DDB_G0268114		
DDB_G0268116	DDB_G0268116		TPR repeat-containing protein
DDB_G0268118	DDB_G0268118		carbohydrate/purine kinase domain-containing protein, indigoidine synthase A like protein
DDB_G0268120	DDB_G0268120		
DDB_G0268122	DDB_G0268122		
