SPCC5E4.05c	UniProtKB:O94305
SPAC18B11.08c	UniProtKB:Q09714
SPAC222.11	UniProtKB:Q9UTE2
SPAC2F3.13c	UniProtKB:O14096
SPAC227.11c	UniProtKB:Q9UTC8
SPBC13A2.03	UniProtKB:Q9P381
SPBC115.03	UniProtKB:O42896
SPAC57A10.08c	UniProtKB:P87056
SPAC1D4.11c	UniProtKB:Q10156
SPBC2G2.08	UniProtKB:O43007
SPAC13A11.06	UniProtKB:Q09737
SPAC2H10.01	UniProtKB:O94392
SPAC3A12.15	UniProtKB:P87129
SPBC3E7.05c	UniProtKB:O59725
SPAC823.03	UniProtKB:Q9P6P3
SPCC16C4.17	UniProtKB:O74461
SPAC110.02	UniProtKB:Q9HFF5
SPBC1198.07c	UniProtKB:Q9P6I3
SPCC4B3.15	UniProtKB:P78953
SPBC29A3.03c	UniProtKB:O59668
SPAC17C9.01c	UniProtKB:P10505
SPBC800.05c	UniProtKB:P04689
SPBC21C3.11	UniProtKB:Q9P7L2
SPBC27B12.03c	UniProtKB:O13666
SPAC750.04c	UniProtKB:Q9P332
SPBC660.10	UniProtKB:O94429
SPAC31G5.16c	UniProtKB:O14466
SPAC1B3.13	UniProtKB:O13878
SPCC622.02	UniProtKB:O94592
SPBC1347.13c	UniProtKB:O94631
SPAC12G12.01c	UniProtKB:Q09866
SPAC1F12.07	UniProtKB:Q10349
SPAC17H9.03c	UniProtKB:O13800
SPBC29A3.10c	UniProtKB:O59673
SPBC56F2.06	UniProtKB:O60057
SPBC17A3.05c	UniProtKB:O13633
SPAC23C4.19	UniProtKB:O13936
SPBC1718.07c	UniProtKB:P47979
SPCC1020.05	UniProtKB:O59759
SPAC227.01c	UniProtKB:Q9UTD8
SPAP8A3.09c	UniProtKB:Q9UT08
SPAC1783.08c	UniProtKB:Q9US22
SPCC1393.10	UniProtKB:O94722
SPBC354.15	UniProtKB:O43029
SPCC24B10.09	UniProtKB:Q9P7J6
SPAC27F1.07	UniProtKB:Q10176
SPAC19D5.11c	UniProtKB:Q65ZA6
SPBC1677.03c	UniProtKB:O94634
SPAC323.07c	UniProtKB:Q9UT92
SPBC1604.15	UniProtKB:O94380
SPAC11G7.05c	UniProtKB:O13698
SPBC17A3.01c	UniProtKB:O13636
SPAC17A5.18c	UniProtKB:Q9C115
SPCC1795.08c	UniProtKB:O59773
SPAC3F10.16c	UniProtKB:Q10190
SPAC926.06c	UniProtKB:Q9UUG2
SPCC24B10.08c	UniProtKB:Q9P7J7
SPCC622.14	UniProtKB:O94601
SPCC613.12c	UniProtKB:O74910
SPAC959.04c	UniProtKB:Q9P4X2
SPCC11E10.07c	UniProtKB:Q9USP0
SPCC4B3.18	UniProtKB:Q9USK7
SPAC8F11.04	UniProtKB:Q9UT32
SPAC24C9.15c	UniProtKB:P48010
SPBC1348.09	UniProtKB:Q9P324
SPAC32A11.03c	UniProtKB:Q10328
SPAC17A2.12	UniProtKB:O13762
SPBC29A10.13	UniProtKB:O94390
SPAC20H4.08	UniProtKB:Q7LKV1
SPAC3A11.12c	UniProtKB:O14126
SPBC14C8.10	UniProtKB:O60091
SPBC12C2.07c	UniProtKB:Q09741
SPCC16C4.08c	UniProtKB:O74453
SPCC338.07c	UniProtKB:O74985
SPAC637.03	UniProtKB:O94440
SPBC31E1.04	UniProtKB:O94651
SPBC83.17	UniProtKB:O94700
SPBC2D10.08c	UniProtKB:O74801
SPAC4H3.02c	UniProtKB:Q10210
SPAC24H6.09	UniProtKB:Q09763
SPAC222.12c	UniProtKB:P22068
SPAC3G9.06	UniProtKB:O42870
SPAPB17E12.07c	UniProtKB:Q8TFH7
SPCC338.16	UniProtKB:O74991
SPACUNK4.16c	UniProtKB:O14081
SPBC25B2.09c	UniProtKB:O74781
SPBC409.18	UniProtKB:Q9UUA6
SPAC12G12.15	UniProtKB:Q09877
SPBC23G7.07c	UniProtKB:O94465
SPAC1486.08	UniProtKB:Q9UTK1
SPBC336.11	UniProtKB:Q9UST3
SPAC3C7.12	UniProtKB:P79065
SPAC1D4.01	UniProtKB:Q10148
SPBC20F10.03	UniProtKB:O42973
SPAC1002.06c	UniProtKB:Q9US52
SPBP8B7.23	UniProtKB:O94271
SPAC1420.03	UniProtKB:Q9UTM3
SPAC17G6.09	UniProtKB:O13787
SPBC9B6.07	UniProtKB:Q9Y7M6
SPAC977.07c	UniProtKB:Q9P329
SPBC1734.14c	UniProtKB:P08463
SPBC839.04	UniProtKB:P08093
SPBC12D12.03	UniProtKB:O94501
SPCC1223.13	UniProtKB:O74412
SPAC2F3.06c	UniProtKB:O14089
SPCC1682.01	UniProtKB:O74433
SPBPB8B6.03	UniProtKB:Q8TFF9
SPCC965.07c	UniProtKB:O59827
SPCC736.15	UniProtKB:O74960
SPAC14C4.13	UniProtKB:P50531
SPAC890.06	UniProtKB:Q9URX8
SPAC8C9.14	UniProtKB:O14283
SPAC1782.08c	UniProtKB:Q9P7H2
SPBPB2B2.14c	UniProtKB:Q9HDU1
SPAC323.06c	UniProtKB:Q9UT93
SPCPB1C11.01	UniProtKB:Q9C0V1
SPAC630.15	UniProtKB:Q9C110
SPAC227.04	UniProtKB:Q9UTD5
SPBC9B6.09c	UniProtKB:Q9Y7M7
SPACUNK4.15	UniProtKB:O14080
SPAC56F8.09	UniProtKB:Q10257
SPAC4A8.15c	UniProtKB:P39825
SPAC24H6.02c	UniProtKB:Q09759
SPBC11G11.05	UniProtKB:Q9USZ4
SPAC139.01c	UniProtKB:Q9UTN2
SPAC1071.08	UniProtKB:O14317
SPAC23D3.07	UniProtKB:Q09841
SPCC330.11	UniProtKB:O74881
SPAC3F10.08c	UniProtKB:Q10183
SPCC830.07c	UniProtKB:Q09912
SPBC23E6.08	UniProtKB:O60183
SPAC31A2.12	UniProtKB:Q09729
SPAC21E11.07	UniProtKB:Q09929
SPCC1259.12c	UniProtKB:O94712
SPBP23A10.15c	UniProtKB:Q9P7X1
SPBC15D4.15	UniProtKB:Q00472
SPBC336.06c	UniProtKB:Q9UST8
SPAC1039.01	UniProtKB:Q9US40
SPBC21H7.06c	UniProtKB:O60175
SPAC22H10.07	UniProtKB:P40996
SPCC162.06c	UniProtKB:O74422
SPAC821.06	UniProtKB:Q09116
SPBC2D10.12	UniProtKB:O74803
SPAC4A8.05c	UniProtKB:O14157
SPAP27G11.07c	UniProtKB:Q9P7N1
SPAC23H4.04	UniProtKB:O13947
SPCC417.10	UniProtKB:O94491
SPCC645.03c	UniProtKB:P78859
SPCC1235.03	UniProtKB:O74840
SPAC26H5.10c	UniProtKB:P56289
SPBPJ4664.01	UniProtKB:O43091
SPAC2E1P5.02c	UniProtKB:Q9P7C2
SPAC9.05	UniProtKB:Q9UT23
SPBC1198.02	UniProtKB:Q9P6I7
SPAC27E2.02	UniProtKB:O13997
SPAC607.04	UniProtKB:Q9US14
SPCC126.02c	UniProtKB:O94395
SPBC21C3.05	UniProtKB:Q9P7L8
SPAC1F3.07c	UniProtKB:Q10412
SPAC27E2.11c	UniProtKB:Q9UTA0
SPBC1683.02	UniProtKB:Q9P6J8
SPBC30B4.07c	UniProtKB:O74366
SPAC27D7.07c	UniProtKB:O42661
SPAC31G5.21	UniProtKB:Q92363
SPBPB21E7.01c	UniProtKB:Q8NKC2
SPACUNK4.07c	UniProtKB:O14072
SPCC594.01	UniProtKB:O74504
SPBPB10D8.07c	UniProtKB:Q9C0Q1
SPBC3H7.04	UniProtKB:O74379
SPBP8B7.04	UniProtKB:O94254
SPAC15A10.03c	UniProtKB:P41410
SPAC22G7.09c	UniProtKB:Q09793
SPAC806.06c	UniProtKB:Q9UT53
SPBC19C2.11c	UniProtKB:Q9UUC9
SPAC8E11.07c	UniProtKB:Q9Y703
SPAC30C2.06c	UniProtKB:Q9P6K5
SPBC11C11.07	UniProtKB:Q10192
SPAC23C11.10	UniProtKB:O13915
SPAC12G12.14c	UniProtKB:Q9UTN4
SPCC188.04c	UniProtKB:Q10430
SPBC1105.17	UniProtKB:Q9Y812
SPBC18H10.03	UniProtKB:P78795
SPAC7D4.03c	UniProtKB:O14260
SPAC3H8.10	UniProtKB:Q10137
SPAC11H11.01	UniProtKB:Q7Z992
SPAC1782.07	UniProtKB:P50523
SPBC106.14c	UniProtKB:Q10342
SPAC23H4.18c	UniProtKB:O13959
SPCC4G3.11	UniProtKB:P87236
SPAC17A5.12	UniProtKB:O13773
SPBC19G7.07c	UniProtKB:O42955
SPAC13G7.09c	UniProtKB:Q10273
SPBP16F5.06	UniProtKB:Q9HFE6
SPAC1687.23c	UniProtKB:Q9C118
SPAC26F1.04c	UniProtKB:Q10488
SPCC613.11c	UniProtKB:O74909
SPBC19C7.10	UniProtKB:O60158
SPCC553.04	UniProtKB:O74942
SPAC1687.08	UniProtKB:O14067
SPAC1805.03c	UniProtKB:Q9UTH1
SPBC27.08c	UniProtKB:P78937
SPAC589.07c	UniProtKB:Q9HDZ7
SPCC1183.10	UniProtKB:O74838
SPCC622.06c	UniProtKB:O94596
SPBC337.07c	UniProtKB:O74818
SPBC337.14	UniProtKB:O74825
SPCC126.03	UniProtKB:O94396
SPCC1020.12c	UniProtKB:Q7LKZ5
SPCC1529.01	UniProtKB:Q9USN4
SPBC2F12.13	UniProtKB:O14343
SPAC26F1.06	UniProtKB:P36623
SPAC3C7.02c	UniProtKB:O14128
SPCC16C4.16c	UniProtKB:O74460
SPBC16E9.10c	UniProtKB:O14325
SPAC16E8.12c	UniProtKB:Q9C117
SPCC663.06c	UniProtKB:Q7Z9I4
SPBP23A10.08	UniProtKB:Q9P7X7
SPCC417.06c	UniProtKB:O94487
SPCC126.01c	UniProtKB:O94394
SPAC1F7.07c	UniProtKB:Q09919
SPBC1A4.04	UniProtKB:O74337
SPCC663.08c	UniProtKB:Q7Z9I3
SPAC1610.04	UniProtKB:Q9P6M7
SPCC1235.13	UniProtKB:O74849
SPBC1347.03	UniProtKB:O94756
SPAC11D3.16c	UniProtKB:Q10095
SPAC30C2.03	UniProtKB:Q9P6K8
SPBP19A11.03c	UniProtKB:P87048
SPBC13E7.08c	UniProtKB:Q9P6R2
SPBC19G7.01c	UniProtKB:O74773
SPAC959.07	UniProtKB:Q9P4W9
SPCC777.07	UniProtKB:O74546
SPBC83.08	UniProtKB:O94692
SPAC24C9.16c	UniProtKB:Q9P4W1
SPAC27F1.08	UniProtKB:Q10177
SPACUNK4.13c	UniProtKB:O14078
SPAC1F5.11c	UniProtKB:Q10064
SPAC1F3.06c	UniProtKB:Q10411
SPCC16A11.06c	UniProtKB:Q9USN0
SPBC4F6.13c	UniProtKB:O74399
SPAC9E9.13	UniProtKB:Q11118
SPAC2F7.14c	UniProtKB:Q09704
SPBC19G7.15	UniProtKB:O42963
SPCPJ732.02c	UniProtKB:Q9C0U6
SPAC3A11.11c	UniProtKB:O14125
SPCC550.08	UniProtKB:O59806
SPCC663.10	UniProtKB:O74516
SPBC31F10.08	UniProtKB:P87309
SPBC16G5.12c	UniProtKB:O60126
SPAC4G9.04c	UniProtKB:Q10237
SPAC1F5.03c	UniProtKB:Q10058
SPAC222.07c	UniProtKB:Q9UTE5
SPAC1A6.02	UniProtKB:O13856
SPBC4C3.12	UniProtKB:O43058
SPAC1A6.03c	UniProtKB:O13857
SPCC584.15c	UniProtKB:Q09889
SPBC713.11c	UniProtKB:Q9C1W4
SPBC1773.10c	UniProtKB:O94567
SPBC36B7.09	UniProtKB:Q9HGN1
SPAC9G1.08c	UniProtKB:O14304
SPBC11B10.01	UniProtKB:Q96WW6
SPBC36.11	UniProtKB:O59708
SPCC4F11.04c	UniProtKB:Q9UT67
SPBC4C3.06	UniProtKB:O43059
SPAC23H4.14	UniProtKB:O13955
SPAC3H1.04c	UniProtKB:Q10070
SPAC2G11.03c	UniProtKB:Q09805
SPBC1105.01	UniProtKB:Q9Y824
SPAC607.05	UniProtKB:Q9US13
SPAC1093.02	UniProtKB:Q9UTQ1
SPCC757.10	UniProtKB:O74920
SPCC61.01c	UniProtKB:O94607
SPAC24H6.01c	UniProtKB:Q09758
SPBC19F8.01c	UniProtKB:O60165
SPBC17D1.01	UniProtKB:Q10207
SPCC16C4.05	UniProtKB:O74450
SPBC16D10.11c	UniProtKB:O94754
SPBPJ4664.02	UniProtKB:Q96WV6
SPAC18G6.11c	UniProtKB:Q10110
SPAC821.08c	UniProtKB:P78972
SPAC26A3.14c	UniProtKB:Q10167
SPAC29B12.01	UniProtKB:O14148
SPBP35G2.09	UniProtKB:Q9P794
SPBC725.07	UniProtKB:O94325
SPBC1685.07c	UniProtKB:O74327
SPAC1952.17c	UniProtKB:Q9URY3
SPBC16C6.06	UniProtKB:O42930
SPBC776.04	UniProtKB:O94672
SPAPB1A10.10c	UniProtKB:Q9HDY0
SPBC530.08	UniProtKB:O59744
SPAC15A10.12c	UniProtKB:O13732
SPCC736.02	UniProtKB:O74951
SPAPB2B4.01c	UniProtKB:Q9HDW9
SPBC30B4.05	UniProtKB:O13671
SPAC29A4.09	UniProtKB:O14012
SPAC869.10c	UniProtKB:Q9URZ3
SPBC24C6.07	UniProtKB:P36589
SPBC3D6.10	UniProtKB:P87175
SPAC1834.03c	UniProtKB:P09322
SPBC409.03	UniProtKB:Q9UUB7
SPBC17D1.06	UniProtKB:Q10202
SPCC777.14	UniProtKB:Q07538
SPCC162.08c	UniProtKB:O74424
SPCC1919.01	UniProtKB:Q9UU87
SPCC553.12c	UniProtKB:O74949
SPAPB24D3.03	UniProtKB:Q9C0Y9
SPAC26H5.11	UniProtKB:O13992
SPBC18H10.13	UniProtKB:O14150
SPBC16H5.04	UniProtKB:O42940
SPAC30D11.05	UniProtKB:Q09905
SPBC2G2.13c	UniProtKB:O43012
SPAC144.14	UniProtKB:Q9UTL2
SPBC839.16	UniProtKB:Q8WZJ7
SPAPB1A10.07c	UniProtKB:Q9HDY3
SPCC1223.02	UniProtKB:P36597
SPBC577.15c	UniProtKB:Q9USQ4
SPAC13C5.06c	UniProtKB:Q09688
SPAC8E11.03c	UniProtKB:O42634
SPBC32H8.07	UniProtKB:Q10282
SPAC186.06	UniProtKB:Q9P7P9
SPACUNK4.06c	UniProtKB:O14459
SPAC637.12c	UniProtKB:O94446
SPBC1921.03c	UniProtKB:Q9Y8G3
SPBC32H8.13c	UniProtKB:Q9UUL4
SPAC110.01	UniProtKB:Q9HFF4
SPBC582.10c	UniProtKB:Q10332
SPAC4D7.13	UniProtKB:O14176
SPCC188.09c	UniProtKB:Q7Z9I1
SPAC16C9.04c	UniProtKB:Q09818
SPAC589.11	UniProtKB:Q9HDZ3
SPCC895.06	UniProtKB:O94533
SPAC513.07	UniProtKB:Q9UT59
SPAPB1E7.04c	UniProtKB:Q9C105
SPBC16A3.11	UniProtKB:O42917
SPAC343.19	UniProtKB:Q9UT42
SPAC890.04c	UniProtKB:Q9URY0
SPCC594.06c	UniProtKB:O74509
SPAC3F10.06c	UniProtKB:Q10181
SPAC19E9.03	UniProtKB:P87049
SPCC777.08c	UniProtKB:O74547
SPBC660.11	UniProtKB:Q9HEQ9
SPCC1020.02	UniProtKB:O59757
SPAC4A8.06c	UniProtKB:O14158
SPAC16E8.11c	UniProtKB:O13745
SPBC25H2.15	UniProtKB:P87156
SPAC17H9.10c	UniProtKB:O13807
SPBC19C2.13c	UniProtKB:Q9UUC7
SPAP7G5.04c	UniProtKB:P40976
SPCC364.03	UniProtKB:O59794
SPAC1486.06	UniProtKB:Q9UTK3
SPAC17A2.11	UniProtKB:O13761
SPBC21.06c	UniProtKB:P41892
SPAC23C4.06c	UniProtKB:O13926
SPAC3A11.04	UniProtKB:O14119
SPAPB1A10.05	UniProtKB:Q9HDY5
SPAC2F7.09c	UniProtKB:Q09700
SPAC823.02	UniProtKB:O13886
SPAC6F6.02c	UniProtKB:O14235
SPBC428.06c	UniProtKB:O94355
SPAC9.13c	UniProtKB:Q9P7C5
SPAC3G6.03c	UniProtKB:O14141
SPBC31F10.11c	UniProtKB:P87312
SPBC660.13c	UniProtKB:Q92372
SPBC29A10.02	UniProtKB:Q2L4W6
SPBC4.04c	UniProtKB:P40377
SPAC25A8.02	UniProtKB:O42862
SPCC1020.13c	UniProtKB:Q7LKZ6
SPBC887.10	UniProtKB:P87323
SPAC3A12.05c	UniProtKB:P87121
SPAC343.03	UniProtKB:Q9UT86
SPAC7D4.07c	UniProtKB:O14463
SPBPB10D8.02c	UniProtKB:Q9C0V7
SPAC1B9.03c	UniProtKB:O14206
SPAC8E11.08c	UniProtKB:A6X974
SPAC13A11.05	UniProtKB:Q09735
SPAC1834.09	UniProtKB:Q9P7Q6
SPBC1271.04c	UniProtKB:O94337
SPAPB24D3.10c	UniProtKB:Q9C0Y4
SPCC191.03c	UniProtKB:Q9Y7P7
SPCC1322.06	UniProtKB:O94545
SPAC19A8.06	UniProtKB:O13822
SPBC11G11.03	UniProtKB:Q9USZ6
SPAP27G11.08c	UniProtKB:Q9P7N0
SPCC550.01c	UniProtKB:O59799
SPAC13F5.03c	UniProtKB:O13702
SPAC890.08	UniProtKB:Q9URX6
SPBC725.06c	UniProtKB:O94324
SPAC20H4.07	UniProtKB:Q9UUL2
SPAC589.05c	UniProtKB:Q9HDZ9
SPBC1734.16c	UniProtKB:O74755
SPAC5D6.02c	UniProtKB:O14196
SPAC4F8.13c	UniProtKB:O14188
SPAC2G11.15c	UniProtKB:Q09814
SPAC1782.02c	UniProtKB:Q9P7H7
SPCC825.03c	UniProtKB:Q9USH7
SPAC23A1.02c	UniProtKB:O42841
SPAC8F11.06	UniProtKB:Q9UT30
SPAC1F5.04c	UniProtKB:Q10059
SPCC1235.10c	UniProtKB:O74846
SPAC5D6.10c	UniProtKB:O14202
SPCC895.05	UniProtKB:O94532
SPBC216.01c	UniProtKB:Q9Y7J8
SPCC16A11.11	UniProtKB:Q9UR27
SPAC4G8.13c	UniProtKB:Q09838
SPBC1604.05	UniProtKB:P78917
SPBC15C4.01c	UniProtKB:O60110
SPAPJ696.02	UniProtKB:Q9URW6
SPBC3H7.08c	UniProtKB:O74383
SPBC15C4.06c	UniProtKB:Q1MTR5
SPAC343.14c	UniProtKB:Q9UT76
SPAC1F8.07c	UniProtKB:Q92345
SPBC1711.01c	UniProtKB:P10839
SPBC887.11	UniProtKB:O94295
SPAC3A12.02	UniProtKB:P87118
SPBC365.15	UniProtKB:Q9Y705
SPBC1778.05c	UniProtKB:Q9Y7J2
SPAC144.17c	UniProtKB:Q9UTK9
SPCC576.13	UniProtKB:O74897
SPBC119.10	UniProtKB:P78753
SPAC821.13c	UniProtKB:Q9UT43
SPCC962.04	UniProtKB:O14062
SPAC2C4.11c	UniProtKB:O14044
SPCC553.03	UniProtKB:O74941
SPAC2F3.03c	UniProtKB:O14086
SPAC22A12.06c	UniProtKB:O13897
SPBCPT2R1.02	UniProtKB:Q6MX60
SPAC17A5.15c	UniProtKB:O13775
SPAC3G9.05	UniProtKB:O42869
SPAC13G6.04	UniProtKB:Q09783
SPAC29A4.19c	UniProtKB:O14022
SPBC146.06c	UniProtKB:Q9Y804
SPAC1A6.06c	UniProtKB:Q9Y826
SPAC1805.14	UniProtKB:Q9UTG3
SPCC5E4.03c	UniProtKB:O13282
SPAC23E2.02	UniProtKB:Q10135
SPAC16E8.03	UniProtKB:O13738
SPBP4H10.04	UniProtKB:Q12705
SPBC30D10.18c	UniProtKB:O14363
SPAC26F1.13c	UniProtKB:Q10490
SPBC691.03c	UniProtKB:Q9C0W7
SPAC6B12.12	UniProtKB:O14217
SPCC736.14	UniProtKB:Q09933
SPBC14F5.13c	UniProtKB:O60109
SPBC14C8.08c	UniProtKB:O60089
SPAC3A11.10c	UniProtKB:O14124
SPCC1919.11	UniProtKB:O94478
SPCC4B3.17	UniProtKB:Q9USK6
SPBC2F12.09c	UniProtKB:P78962
SPCC736.09c	UniProtKB:O74955
SPAC1952.07	UniProtKB:P22193
SPAC8F11.03	UniProtKB:P26359
SPCPB1C11.02	UniProtKB:Q9C0V0
SPAC750.05c	UniProtKB:Q9P3E6
SPAC14C4.14	UniProtKB:P24487
SPBC32F12.09	UniProtKB:P40380
SPAC13C5.05c	UniProtKB:Q09687
SPBC16H5.12c	UniProtKB:O42947
SPAC13F5.01c	UniProtKB:O13921
SPAC1399.05c	UniProtKB:Q9HE16
SPBC13E7.03c	UniProtKB:Q9P6R7
SPAC1F12.08	UniProtKB:Q10350
SPBC18H10.04c	UniProtKB:O14369
SPAC6C3.07	UniProtKB:Q10310
SPBC577.14c	UniProtKB:Q9USQ5
SPCC1223.14	UniProtKB:O74413
SPAC2G11.12	UniProtKB:Q09811
SPBC685.05	UniProtKB:Q9Y7L7
SPAC9E9.11	UniProtKB:O14295
SPAC24H6.08	UniProtKB:Q09762
SPAC227.05	UniProtKB:Q9UTD4
SPCC613.02	UniProtKB:O74902
SPBC21C3.06	UniProtKB:Q9P7L7
SPAC26H5.13c	UniProtKB:O13994
SPBC29A10.12	UniProtKB:O94389
SPCC70.09c	UniProtKB:O94243
SPCC1020.04c	UniProtKB:P36595
SPCC965.13	UniProtKB:O59833
SPBC16A3.01	UniProtKB:P48008
SPBC3B9.03	UniProtKB:O43032
SPAC4F10.06	UniProtKB:O36018
SPAC9G1.13c	UniProtKB:O14308
SPAC23C11.07	UniProtKB:O13913
SPAC27D7.09c	UniProtKB:O42663
SPBC30D10.12c	UniProtKB:O14358
SPAC10F6.03c	UniProtKB:O42644
SPAC343.09	UniProtKB:Q9UT81
SPCC4G3.04c	UniProtKB:P87230
SPAC1782.11	UniProtKB:Q9P7G9
SPAC22G7.07c	UniProtKB:Q09800
SPAC13G7.07	UniProtKB:Q10271
SPAC17H9.09c	UniProtKB:P08647
SPBC3F6.01c	UniProtKB:O43049
SPAC22H10.08	UniProtKB:Q10301
SPBC146.13c	UniProtKB:Q9Y7Z8
SPBC887.09c	UniProtKB:O94294
SPBC12C2.13c	UniProtKB:Q09752
SPAC630.04c	UniProtKB:Q9UUH8
SPAC8E11.02c	UniProtKB:P42656
SPAC21E11.08	UniProtKB:Q09925
SPBC1539.08	UniProtKB:Q9Y7Z2
SPAC1687.15	UniProtKB:Q10452
SPAC17A5.11	UniProtKB:P40384
SPBP35G2.11c	UniProtKB:Q9P792
SPAC823.15	UniProtKB:P23635
SPBC1271.14	UniProtKB:O94346
SPBC418.02	UniProtKB:Q9Y7X2
SPBC15D4.10c	UniProtKB:O74315
SPAC1093.03	UniProtKB:Q7Z9H9
SPAC3G6.05	UniProtKB:O14142
SPCC18B5.09c	UniProtKB:Q9USL2
SPBC17G9.06c	UniProtKB:Q9UUE3
SPBC1683.13c	UniProtKB:Q9P6I9
SPAC1006.03c	UniProtKB:Q9UTR8
SPAC22G7.02	UniProtKB:Q09796
SPAPYUG7.02c	UniProtKB:Q9P7Y9
SPAC664.14	UniProtKB:Q9US00
SPAC29E6.08	UniProtKB:P17871
SPAC17C9.12	UniProtKB:Q10484
SPBC409.16c	UniProtKB:Q9UUA8
SPBC18H10.02	UniProtKB:O60135
SPAPB15E9.03c	UniProtKB:Q05654
SPAC8C9.08	UniProtKB:O14277
SPBC16E9.02c	UniProtKB:O14319
SPAC1002.01	UniProtKB:Q9US57
SPBC25H2.09	UniProtKB:P87150
SPCC285.08	UniProtKB:O74496
SPAC24B11.06c	UniProtKB:Q09892
SPAC2C4.10c	UniProtKB:O14043
SPAC26F1.05	UniProtKB:Q10493
SPBC1683.06c	UniProtKB:Q9P6J4
SPAC2E12.02	UniProtKB:Q02953
SPBC1348.14c	UniProtKB:Q8TFG1
SPAC17C9.02c	UniProtKB:Q10474
SPCC1020.11c	UniProtKB:O59764
SPCC338.15	UniProtKB:O59866
SPCC1393.02c	UniProtKB:O94714
SPAC19B12.04	UniProtKB:O42952
