SPAC22H10.13	YOR031W
SPAC20H4.10	YDL190C
SPBC16A3.09C	YGR048W
SPAC1805.12C	YIL148W|YKR094C
SPBC83.01	YBL047C|YIR006C
SPAC17A5.12	YDR320C
SPAC3F10.13	YOR138C
SPBC21D10.05C	YGL181W
SPBC6B1.06C	YBR058C
SPBC25H2.05	YHR193C
SPAC1486.02C	YOL073C
SPCC895.09C	YLR419W
SPCC285.11	YML013W
SPAC343.09	YBL058W
SPAC2C4.15C	YDR330W
SPAC15A10.11	YGR184C|YLR024C
SPBC19C7.02	YGR184C|YLR024C
SPCC188.08C	YMR304W
SPBC713.02C	YMR304W
SPCC1494.05C	YJL197W
SPCC16A11.12C	YJL197W
SPBC337.08C	YLL039C
SPAC6G10.11C	YLR167W
SPAC11G7.04	YIL148W|YKR094C
SPBC211.07C	YEL012W
SPAC10F6.05C	YER100W
SPBC119.02	YBR082C|YDR059C
SPBP16F5.04	YDR054C|YMR022W
SPBC1198.09	YGR133W
SPBC1105.09	YDR054C|YMR022W
SPAC1250.03	YGR133W
SPAC11E3.04C	YDR092W
SPCC777.10C	YLR306W
SPCC1259.15C	YOR339C
SPBC2D10.20	YDR177W
SPAC323.06C	YPL003W
SPAC24H6.12C	YPR066W
SPAC17G6.14C	YDL084W
SPBC1289.02C	YNL286W
SPCC1494.04C	YBR166C
SPCC126.06	YGR080W
SPAC630.14C	YCR084C
SPAC18B11.10	YCR084C
SPBC32F12.04	YLR212C
SPBC9B6.04C	YOR187W
SPBC800.05C	YML085C|YML124C
SPAC30.03C	NONE
SPBC800.07C	NONE
SPAC630.13C	NONE
SPAC22F3.13	NONE
SPBC12D12.07C	YCR083W
SPAC7D4.07C	YGR209C|YLR043C
SPBC29A3.14C	YLR318W
SPBC1718.05	YKR068C
SPBC11G11.04	YBR254C
SPBC3F6.03	YDR353W|YHR106W
SPBC16G5.08	YDR354W
SPCC1442.09	YER090W
SPAC19A8.15	YGL026C
SPBC1539.09C	YKL211C
SPAPB18E9.01	YHR070W
SPAC4G8.06C	YML005W
SPAC31A2.02	YNR046W
SPBC16D10.02	YOL124C
SPAC6B12.09	YOL093W
SPBC25D12.05	YDR120C
SPAC1639.02C	YJL129C|YKR050W
SPAC3F10.02C	YJL129C|YKR050W
SPBC19G7.13	YPL128C
SPCC576.03C	YDR453C|YML028W
SPAC3G6.09C	YDR074W
SPAC328.03	YBR126C
SPAC27D7.14C	YOL145C
SPAC19G12.15C	YDR074W
SPCC24B10.21	YDR050C
SPBC216.07C	YJR066W|YKL203C
SPBC30D10.10C	YJR066W|YKL203C
SPBC16G5.12C	YLR234W
SPBC1A4.03C	YNL088W
SPBC1703.14C	YOL006C
SPAC6B12.12	YHR117W|YNL121C
SPBC27B12.10C	YNL070W
SPBC27B12.13	YMR203W
SPAC17H9.16	YNL131W
SPAC6F12.07	YGR082W
SPBC713.08	YOL026C
SPCC1753.04	YOL064C
SPBC1773.05C	YDL246C|YJR159W|YLR070C
SPCC70.07C	YJR057W
SPBCPT2R1.08C	NONE
SPAC212.11	NONE
SPAC823.05C	YAL014C|YOL018C
SPBC36B7.07	YDR468C
SPCC4B3.16	YPR040W
SPAC3C7.12	YCL029C
SPAC13G6.04	YJR135W-A
SPAC57A10.11C	YKL195W
SPCC16A11.09C	YNR017W
SPBC1289.09	YGR033C
SPBP23A10.16	YDR178W|YLR164W|YOR297C
SPAC3A12.16C	YJL143W
SPAC824.06	YLR008C|YNL328C
SPAC17C9.09C	YGR181W
SPAC222.03C	YBR091C|YHR005C-A
SPCC1919.09	YPR016C
SPBC336.10C	YEL034W|YJR047C
SPAC26H5.10C	YEL034W|YJR047C
SPAC17C9.03	YGL049C|YGR162W
SPBC1709.18	YOL139C
SPAC16E8.15	YOL139C
SPBC18H10.03	YDR429C
SPAC4A8.16C	YMR309C
SPBC17D11.05	YBR079C
SPAC8C9.15C	YDR211W
SPAC21E11.06	YGR083C
SPAC4D7.09	YOR260W
SPBC17G9.09	YER025W
SPAC32A11.04C	YPL237W
SPAC3G9.09C	YJR007W
SPBC25H2.07	YMR260C
SPAC23C4.07	NONE
SPAC13C5.03	YMR065W
SPBC25H2.02	YIL078W
SPCC965.05C	NONE
SPAC23H4.10C	YPL214C
SPBC26H8.01	YGR144W
SPAC1486.10	NONE
SPAC20H4.03C	YGL043W
SPAC22H12.02	YPL129W
SPBC1198.13C	YGR005C
SPCC1620.09C	YGR186W
SPBC30B4.07C	YPR056W
SPBC13G1.13	YPL122C
SPAC16E8.11C	YDR311W
SPCC1672.08C	YKR062W
SPAC458.07	YKL028W
SPBC9B6.02C	NONE
SPAC19D5.09C	NONE
SPAC13D1.01C	NONE
SPAC27E2.08	NONE
SPAPB15E9.03C	NONE
SPAC26A3.13C	NONE
SPCC1020.14	NONE
SPAC9.04	NONE
SPCC23B6.03C	YBL088C
SPCC1450.04	YAL003W
SPCC417.08	YLR249W|YNL014W
SPBC1706.01	YAR014C
SPAC6G10.02C	YGR238C|YHR158C
SPBC1604.20C	YPL155C
SPCC1223.06	YGR238C|YHR158C
SPBC32F12.11	YGR192C|YJL052W|YJR009C
SPBC660.11	YLL046C
SPAC29E6.08	YER148W
SPAC16A10.07C	YPL128C
SPBC83.03C	NONE
SPCC1020.06C	YGR043C|YLR354C
SPAC12G12.05C	YMR236W
SPBC15D4.14	YBR198C
SPCC5E4.03C	YBR198C
SPCC16C4.18C	YGL112C
SPAC23G3.09	YMR005W
SPAC823.06	YPL011C
SPAC3A12.05C	YCR042C
SPCC1494.02C	YML098W
SPAC15A10.02	YDR145W
SPAC2G11.14	YGR274C
SPAC1002.04C	YML015C
SPBC21H7.02	YDR167W
SPAC7D4.04	NONE
SPAC6G9.11	YAL030W|YOR327C
SPAC1296.03C	NONE
SPAC26A3.01	YDR144C|YDR349C|YIR039C|YLR120C|YLR121C
SPBC11B10.06	YDR078C
SPAC664.01C	NONE
SPBC409.03	YHR079C- A
SPBC30D10.04	YMR048W
SPAC1142.03C	NONE
SPBC4F6.15C	YML095C
SPBC216.06C	YNL273W
SPBC354.03	YBR175W
SPBC18H10.06C	YKL018W
SPAC23H3.05C	YAR003W
SPBP35G2.13C	YDR485C
SPAC637.11	YPL029W
SPAC2F3.08	NONE
SPBC947.01	YER047C|YPL074W
SPAC1834.01	YBR143C
SPCC584.04	YDR172W
SPCC1795.11	YOR204W|YPL119C
SPBC800.09	YPR129W
SPAC4D7.05	YMR146C
SPBC23G7.05	YNL244C
SPBC25D12.04	YGR180C|YJL026W
SPBC1734.14C	YBR135W
SPBC27.08C	YJR010W
SPAC24B11.06C	YLR113W
SPBC1271.02	YGL022W
SPCC16C4.09	YDR293C
SPAC20G4.07C	YGL012W
SPAC1F8.03C	YCL073C|YEL065W|YHL040C|YHL047C|YKR106W|YOL158C
SPCC61.01C	YCL073C|YEL065W|YHL040C|YHL047C|YKR106W|YOL158C
SPBC4F6.09	YCL073C|YEL065W|YHL040C|YHL047C|YKR106W|YOL158C
SPAC1071.12C	YPR073C
SPAC17C9.10	YBR147W|YDR090C|YDR352W|YOL092W
SPCC645.14C	YOR027W
SPAC4F8.10C	YOR367W
SPAC23E2.03C	NONE
SPCC1442.01	YLR310C
SPAC1565.04C	YCL032W
SPBC12C2.02C	YER093C
SPBC776.09	YDL160C
SPBC32C12.02	NONE
SPAC3G9.04	YNL222W
SPAC4G8.02C	YDR086C
SPBP23A10.05	NONE
SPAC23G3.10C	YCR052W|YNR023W
SPAC23H3.10	YFR037C
SPAC17G6.10	YFR037C
SPCC74.03C	YDR477W
SPCC297.03	YER129W|YGL179C
SPBC23E6.09	YBR112C
SPAC27D7.13C	YPL174C
SPAC1687.18C	NONE
SPCC1682.07	YLR005W
SPAC664.11	YEL030W|YJR045C
SPCC23B6.05C	YJL173C
SPCC1753.01C	YNL312W
SPBC660.13C	YAR007C
SPCC1739.13	YAL005C|YBL075C|YER103W|YLL024C
SPAC13G7.02C	YAL005C|YBL075C|YER103W|YLL024C
SPBC106.02C	YKL086W
SPAC144.13C	YGL003C
SPAC4H3.05	YJL092W
SPCC320.10	YPL210C
SPCC188.06C	YPR088C
SPAC16.02C	YDR432W
SPAC19B12.09	YDL092W
SPAC23H4.07C	YKL154W
SPBC11C11.08	NONE
SPCC1322.08	YGL158W|YLR248W
SPBC354.05C	NONE
SPBC19C2.09	NONE
SPAC589.02C	YDR443C
SPAC688.08	YCR081W
SPBC1604.10	YDR308C
SPAC29A4.07	YBR253W
SPBC31F10.04C	YER022W
SPBC12D12.06	YNL025C
SPAC23H4.17C	YPL042C
SPAC1F7.01C	YGR116W
SPAC23C4.19	YML010W
SPBC21C3.16C	YGR063C
SPCC61.02	YDR392W
SPAC4F8.12C	YHR165C
SPCC285.17	YMR233W|YOR295W
SPBC17D11.06	YKL045W
SPAC6B12.10C	YIR008C
SPBC1778.04	YDR052C
SPBC21C3.18	YDL017W
SPAC607.10	NONE
SPAC3H8.10	YKL091C|YMR079W
SPAC1F3.06C	NONE
SPBC3H7.01	YNR026C
SPAC3F10.15C	YGR230W|YHR152W
SPBC19F8.01C	NONE
SPCC188.12	NONE
SPAC24C9.15C	NONE
SPAC9G1.11C	YHR107C
SPBC16A3.01	YJR076C
SPAC821.06	YCR002C
SPAC4F10.11	YLR314C
SPAC31G5.09C	YBL016W
SPBC1289.03C	YLR293C|YOR185C
SPAC1565.06C	YML064C
SPBC1289.11	NONE
SPBC1734.05C	NONE
SPCC1281.02C	NONE
SPBP4H10.05C	YOL052C
SPAC144.04C	YKL184W
SPAC29B12.03	YLR437C
SPCPJ732.02C	YGR194C
SPCPB1C11.03	YLL055W
SPCPB1C11.02	YNL268W
SPCPB16A4.06C	NONE
SPCPB16A4.05C	NONE
SPCPB16A4.04C	YDL201W
SPCPB16A4.02C	YBR129C
SPCP31B10.06	YML072C|YNL087W|YOR086C
SPCP31B10.05	YBR223C
SPCP31B10.04	YKL077W
SPCP31B10.02	YPL107W
SPCP25A2.03	NONE
SPCP20C8.02C	NONE
SPCP20C8.01C	NONE
SPCP1E11.11	YDR496C
SPCP1E11.10	YCR051W
SPCP1E11.08	YER126C
SPCP1E11.05C	YCR048W|YNR019W
SPCP1E11.03	NONE
SPCC970.11C	NONE
SPCC970.10C	YDL074C
SPCC970.08	YDR017C
SPCC970.06	YGR284C
SPCC970.03	YIL043C|YML087C|YML125C
SPCC970.02	YKL046C|YMR238W
SPCC965.14C	YPR062W
SPCC965.13	NONE
SPCC965.12	NONE
SPCC965.11C	YFL055W
SPCC965.10	YDL170W
SPCC965.09	YJL126W
SPCC965.06	NONE
SPCC965.04C	YPR024W
SPCC962.05	NONE
SPCC962.01	YML072C|YNL087W|YOR086C
SPCC895.08C	NONE
SPCC895.06	YGR200C
SPCC895.03C	YGL169W
SPCC830.11C	YDL166C
SPCC830.10	YJR069C
SPCC830.09C	YAL033W
SPCC830.08C	YPR028W
SPCC830.06	YKL190W
SPCC830.05C	YFL024C
SPCC830.04C	NONE
SPCC830.03	YLL035W
SPCC825.05C	NONE
SPCC825.04C	YMR069W
SPCC825.02	YDR221W
SPCC825.01	YER036C
SPCC794.15	NONE
SPCC794.11C	YJR125C
SPCC794.10	YHL012W|YKL035W
SPCC794.08	YMR212C
SPCC794.07	YNL071W
SPCC794.06	NONE
SPCC794.04C	NONE
SPCC794.03	YDL210W|YGL077C|YKL174C
SPCC794.02	NONE
SPCC794.01C	YNL241C
SPCC790.03	YPL246C
SPCC777.17C	NONE
SPCC777.15	YLR405W
SPCC777.12C	NONE
SPCC777.11	NONE
SPCC777.08C	NONE
SPCC777.07	YBR199W|YBR205W|YDR483W|YJL139C|YKR061W|YOR099W|YPL053C
SPCC777.06C	NONE
SPCC777.04	YPL265W
SPCC777.03C	NONE
SPCC777.02	YLR098C|YOR337W
SPCC757.13	YJR152W|YLR004C
SPCC757.12	NONE
SPCC757.11C	NONE
SPCC757.08	YDR280W
SPCC757.06	NONE
SPCC757.05C	NONE
SPCC757.04	YLR098C|YOR337W
SPCC757.03C	YDR533C|YMR322C|YOR391C|YPL280W
SPCC757.02C	NONE
SPCC74.09	NONE
SPCC74.04	YDL210W|YGL077C|YKL174C
SPCC74.02C	NONE
SPCC737.08	YLR106C
SPCC737.07C	YKL017C
SPCC737.06C	NONE
SPCC737.05	YDR479C|YHR150W
SPCC737.04	NONE
SPCC737.03C	NONE
SPCC736.15	YGR086C|YPL004C
SPCC736.13	YOR246C
SPCC736.12C	YDR374C
SPCC736.10C	YMR158W
SPCC736.09C	NONE
SPCC736.08	NONE
SPCC736.07C	YFL023W
SPCC736.06	YPL104W
SPCC736.05	NONE
SPCC736.03C	YPR047W
SPCC736.02	NONE
SPCC70.10	NONE
SPCC70.09C	YGR273C|YMR295C
SPCC70.08C	NONE
SPCC70.06	YDR159W
SPCC70.05C	NONE
SPCC70.04C	NONE
SPCC70.03C	YLR142W
SPCC70.02C	YDL130W-A|YDL181W
SPCC663.15C	NONE
SPCC663.14C	YAL053W|YGL139W|YOR365C|YPL221W
SPCC663.13C	YOR253W
SPCC663.11	NONE
SPCC663.10	YPL030W
SPCC663.09C	YKL071W
SPCC663.08C	YKL071W
SPCC663.06C	YKL071W
SPCC645.13	YKL005C
SPCC645.12C	NONE
SPCC645.10	YER168C
SPCC645.09	YBR268W
SPCC645.08C	NONE
SPCC645.02	YHR100C
SPCC63.14	NONE
SPCC63.13	NONE
SPCC63.12C	YER094C
SPCC63.10C	YMR013C
SPCC63.07	YGR024C
SPCC63.06	YNL035C
SPCC63.05	YMR028W
SPCC63.03	NONE
SPCC622.19	NONE
SPCC622.15C	YGL175C
SPCC622.14	YDL226C|YNL204C
SPCC622.13C	YKL033W
SPCC622.12C	YAL062W|YOR375C
SPCC622.11	NONE
SPCC622.10C	YDR166C
SPCC622.07	NONE
SPCC622.06C	NONE
SPCC622.05	NONE
SPCC622.04	NONE
SPCC622.03C	NONE
SPCC622.02	NONE
SPCC622.01C	NONE
SPCC613.08	YDR361C
SPCC613.07	YHR040W
SPCC613.03	YLR250W
SPCC613.02	NONE
SPCC613.01	NONE
SPCC61.05	NONE
SPCC61.04C	YGR172C
SPCC61.03	YKL151C
SPCC5E4.10C	NONE
SPCC5E4.05C	YKL094W
SPCC594.07C	NONE
SPCC594.06C	YGL212W
SPCC594.05C	YPL138C
SPCC594.04C	NONE
SPCC594.03	NONE
SPCC594.02C	YHL026C
SPCC594.01	NONE
SPCC584.16C	NONE
SPCC584.15C	YFR022W|YOR018W
SPCC584.14	YCR054C
SPCC584.13	YDL210W|YGL077C|YKL174C
SPCC584.12	NONE
SPCC584.11C	YDR346C
SPCC584.03C	YGL164C
SPCC584.01C	YFR030W
SPCC576.19C	NONE
SPCC576.17C	NONE
SPCC576.14	YLR172C
SPCC576.13	YBR231C
SPCC576.12C	NONE
SPCC576.06C	YPL097W
SPCC576.05	YDR159W
SPCC576.04	YNL305C
SPCC576.02	YIR030C
SPCC576.01C	YLL057C
SPCC569.07	YGL202W|YHR137W
SPCC569.06	NONE
SPCC569.05C	YLL028W
SPCC569.04	NONE
SPCC569.03	NONE
SPCC569.02C	NONE
SPCC569.01C	NONE
SPCC553.12C	NONE
SPCC553.11C	YKL058W
SPCC553.10	NONE
SPCC553.08C	YNL163C
SPCC553.07C	NONE
SPCC553.06	YMR149W
SPCC553.03	YKL197C
SPCC553.02	YHR074W
SPCC553.01C	YGR042W
SPCC550.15C	YBR267W|YLR387C
SPCC550.14	YJL080C
SPCC550.11	YDR395W|YJR132W
SPCC550.09	YBR168W
SPCC550.08	YDR391C|YOR012W
SPCC550.07	YDR242W
SPCC550.03C	YLR398C
SPCC550.01C	YLR218C
SPCC548.06C	YDL245C|YDR342C|YDR343C|YDR536W|YEL069C|YGR289C|YHR092C|YHR094C|YHR096C|YIL171W|YJL214W|YJL219W|YJR158W|YLR081W|YMR011W|YNL318C|YNR072W|YOL156W
SPCC548.05C	YOL054W
SPCC548.04	YIL008W
SPCC4G3.18	NONE
SPCC4G3.17	YBR242W|YGL101W
SPCC4G3.16	NONE
SPCC4G3.15C	YDL165W
SPCC4G3.14	YFL016C
SPCC4G3.13C	YML101C|YMR264W
SPCC4G3.12C	NONE
SPCC4G3.11	YDL089W
SPCC4G3.09C	YNL293W|YOL112W
SPCC4G3.06C	YLR439W
SPCC4G3.03	YLR149C
SPCC4F11.05	NONE
SPCC4F11.04C	YBR161W|YPL057C
SPCC4F11.03C	NONE
SPCC4B3.18	YIL083C
SPCC4B3.13	YDR338C|YHR032W
SPCC4B3.11C	YAL046C
SPCC4B3.09C	YGL068W
SPCC4B3.08	NONE
SPCC4B3.07	YOR051C
SPCC4B3.06C	YLR011W
SPCC4B3.05C	YDR047W
SPCC4B3.03C	YOL060C
SPCC4B3.02C	YMR292W
SPCC4B3.01	YOR251C
SPCC417.15	NONE
SPCC417.12	NONE
SPCC417.11C	NONE
SPCC417.10	YJR152W|YLR004C
SPCC417.09C	NONE
SPCC417.04	NONE
SPCC417.03	NONE
SPCC364.07	YER081W|YIL074C
SPCC364.06	YKR048C
SPCC364.04C	YKL179C
SPCC364.01	NONE
SPCC338.18	NONE
SPCC338.15	YEL002C
SPCC338.14	YJR105W
SPCC338.13	YPR105C
SPCC338.12	YNL015W
SPCC338.08	NONE
SPCC338.07C	YDL040C
SPCC338.06C	YBR072W|YDR171W
SPCC338.03C	NONE
SPCC338.02	NONE
SPCC330.19C	NONE
SPCC330.09	YGR145W
SPCC330.07C	NONE
SPCC330.06C	YLR109W
SPCC330.04C	NONE
SPCC330.03C	YMR073C
SPCC320.14	YKL218C
SPCC320.12	YNR020C
SPCC320.11C	YPL211W
SPCC320.08	NONE
SPCC320.06	NONE
SPCC320.05	YPR003C
SPCC320.04C	YAL048C
SPCC320.03	YBR033W|YKL038W
SPCC31H12.06	NONE
SPCC31H12.03C	YER063W
SPCC31H12.02C	YBR054W|YCR021C|YDR033W
SPCC306.11	NONE
SPCC306.08C	YKL085W
SPCC306.07C	YHR052W|YKR060W
SPCC306.06C	YHR101C
SPCC306.02C	YNL044W
SPCC2H8.05C	NONE
SPCC2H8.04	NONE
SPCC2H8.03	NONE
SPCC2H8.02	YML123C
SPCC297.06C	YKL142W
SPCC297.05	NONE
SPCC285.14	YMR218C
SPCC285.13C	YAR002W
SPCC285.10C	YKL124W|YMR171C
SPCC285.05	NONE
SPCC285.04	NONE
SPCC285.03	YNR038W
SPCC24B10.22	YOR330C
SPCC24B10.20	YKL071W
SPCC24B10.19C	NONE
SPCC24B10.18	NONE
SPCC24B10.17	YGL200C
SPCC24B10.16C	NONE
SPCC24B10.15	YOR166C
SPCC24B10.12	YML036W
SPCC24B10.11C	NONE
SPCC24B10.10C	YGR028W
SPCC24B10.08C	YDR448W
SPCC24B10.06	NONE
SPCC24B10.05	YEL020W-A
SPCC24B10.04	NONE
SPCC24B10.03	NONE
SPCC24B10.02C	YEL041W|YJR049C
SPCC23B6.04C	YNL231C|YNL264C
SPCC23B6.02C	NONE
SPCC23B6.01C	YHR001W|YKR003W|YOR237W|YPL145C
SPCC1919.15	YDL074C
SPCC1919.13C	YIL096C
SPCC1919.12C	YBR074W
SPCC1919.11	NONE
SPCC1919.08C	YMR286W
SPCC1919.07	NONE
SPCC1919.05	YPR189W
SPCC1919.04	NONE
SPCC1919.03C	YER027C|YGL208W
SPCC1919.02	YCL052C
SPCC1919.01	NONE
SPCC191.10	NONE
SPCC191.08	YNL260C
SPCC191.06	NONE
SPCC191.05C	NONE
SPCC191.04C	NONE
SPCC191.03C	NONE
SPCC191.02C	YAL054C|YLR153C
SPCC191.01	NONE
SPCC1906.03	NONE
SPCC1906.02C	YGL110C
SPCC1902.02	YDR251W|YPL032C
SPCC18B5.10C	YNL253W
SPCC18B5.09C	NONE
SPCC18B5.08C	YPL040C
SPCC18B5.05C	NONE
SPCC18B5.04	YER050C
SPCC188.09C	NONE
SPCC188.05	NONE
SPCC1840.12	YJL212C|YPR194C
SPCC1840.11	YNL232W
SPCC1840.09	YLR290C
SPCC1840.08C	YIL005W
SPCC1840.07C	NONE
SPCC1840.05C	YMR278W
SPCC1840.04	YOR197W
SPCC1827.07C	YIL047C
SPCC1827.06C	YDR158W
SPCC1827.05C	YNL110C
SPCC1827.04	YDR049W
SPCC1827.03C	YBR222C
SPCC1827.02C	YGR202C
SPCC1827.01C	YIL091C
SPCC18.17C	NONE
SPCC18.15	YBR246W
SPCC18.13	YDR165W
SPCC18.12C	YOR004W
SPCC18.10	YEL029C|YNR027W
SPCC18.09C	YOR258W
SPCC18.08	YNL073W
SPCC18.06C	YNR052C
SPCC18.05C	YCR072C
SPCC18.03	YNL023C
SPCC18.02	NONE
SPCC1795.12C	NONE
SPCC1795.10C	YHR181W
SPCC1795.08C	YDR359C
SPCC1795.07	YNL081C
SPCC1795.05C	YKL024C
SPCC1795.04C	YOR362C
SPCC1795.02C	YDL128W
SPCC1742.01	NONE
SPCC1739.10	YFR012W|YMR063W|YOL019W
SPCC1739.08C	NONE
SPCC1739.07	YHR081W
SPCC1739.06C	YKR069W
SPCC1739.04C	NONE
SPCC1739.02C	YNL177C
SPCC1739.01	YPL054W
SPCC16C4.21	NONE
SPCC16C4.20C	NONE
SPCC16C4.19	YDR478W
SPCC16C4.16C	NONE
SPCC16C4.15	YEL050C
SPCC16C4.12	YPR131C
SPCC16C4.10	YCR073W-A|YGR248W|YHR163W|YNR034W
SPCC16C4.06C	YGL063W|YPL212C
SPCC16C4.05	YNL282W
SPCC16C4.04	NONE
SPCC16C4.02C	NONE
SPCC16C4.01	YDL001W
SPCC16A11.16C	NONE
SPCC16A11.15C	NONE
SPCC16A11.03C	NONE
SPCC16A11.02	YLR222C
SPCC16A11.01	YKL051W
SPCC1682.15	NONE
SPCC1682.13	YAL034C|YOR338W
SPCC1682.12C	YNL186W
SPCC1682.11C	NONE
SPCC1682.09C	YDL198C
SPCC1682.06	NONE
SPCC1682.05C	YPL243W
SPCC1672.12C	YOR164C
SPCC1672.11C	YOR291W
SPCC1672.09	YKL140W
SPCC1672.07	YLR409C
SPCC1672.05C	YGR185C
SPCC1672.04C	YLL018C-A
SPCC1672.03C	YDL238C
SPCC1672.01	YFR025C
SPCC1620.13	NONE
SPCC1620.12C	YMR192W|YPL249C
SPCC1620.11	YFR002W
SPCC1620.08	YGR244C
SPCC1620.07C	YHR192W
SPCC1620.06C	YBL068W|YER099C|YHL011C|YKL181W|YOL061W
SPCC1620.05	YJL031C
SPCC1620.04C	NONE
SPCC1620.03	NONE
SPCC1620.02	NONE
SPCC162.12	NONE
SPCC162.11C	YNR012W
SPCC162.06C	YDR486C
SPCC162.03	NONE
SPCC162.02C	NONE
SPCC162.01C	NONE
SPCC1529.01	NONE
SPCC14G10.04	NONE
SPCC14G10.03C	YBR173C
SPCC14G10.02	YKL014C
SPCC14G10.01	YDR196C
SPCC1494.10	YER109C
SPCC1494.09C	NONE
SPCC1494.08C	YBL086C
SPCC1494.07	YMR259C
SPCC1494.06C	YLR276C
SPCC1494.03	NONE
SPCC1494.01	NONE
SPCC1450.16C	YMR313C
SPCC1450.13C	YBR256C
SPCC1450.12	YPR097W
SPCC1450.10C	YNL240C
SPCC1450.09C	YMR006C|YMR008C|YOL011W
SPCC1450.07C	NONE
SPCC1450.03	NONE
SPCC1450.02	YDL070W|YLR399C
SPCC1442.17C	YNL265C
SPCC1442.16C	YBR046C
SPCC1442.14C	YDL125C
SPCC1442.13C	NONE
SPCC1442.12	YER026C
SPCC1442.11C	NONE
SPCC1442.07C	NONE
SPCC1442.06	YML092C
SPCC1442.05C	YGR235C
SPCC1442.04C	YGL250W
SPCC1442.03	YMR166C
SPCC1442.02	NONE
SPCC13B11.04C	YDL168W
SPCC13B11.03C	YDR272W|YOR040W
SPCC13B11.02C	NONE
SPCC1393.13	YMR027W
SPCC1393.12	NONE
SPCC1393.11	YKR085C
SPCC1393.09C	YDR152W
SPCC1393.08	NONE
SPCC1393.07C	NONE
SPCC1393.06C	YHR085W
SPCC1393.05	NONE
SPCC1393.04	NONE
SPCC1393.02C	YER161C
SPCC1322.16	YGR231C
SPCC1322.10	NONE
